Microorganism,Culture_type,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,Metabolite_or_product
Bacillus subtilis strains TL-171,Individual strain,Profenofos,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Phosphotriesterase,,10.1021/jf400528d,
Bacillus subtilis strains TS-204,Individual strain,Profenofos,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Esterase,,10.1021/jf400528d,
Bacillus subtilis strains TS-204,Individual strain,Profenofos,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Phosphotriesterase,,10.1021/jf400528d,
Pseudoxanthomonas suwonensis strain HNM,Individual strain,Profenofos,Experimental evidence,Contaminated soil,India,2015,,,,10.1002/jobm.201400978,
Bacillus sp. PF1,Individual strain,Profenofos,Experimental evidence,Agriculture soil,India,2021,Hydrolases,Esterase,,10.1080/09593330.2021.1976282,
Pseudomonas plecoglossicida strain PF1,Individual strain,Profenofos,Experimental evidence,Contaminated soil,India,2020,,,,10.1016/j.ecoenv.2019.110129,
Cupriavidus nantongensis X1ᵀ,Individual strain,Profenofos,Experimental evidence,Activated sludge,China,2023,Hydrolases,Organophosphate hydrolase,OpdB,10.1016/j.jhazmat.2024.133750,
Pseudomonas plecoglossicida,Individual strain,Profenofos,Experimental evidence,Contaminated soil,Thailand,2014,,,,10.1007/s11356-014-3354-1,
Pseudomonas aeruginosa,Individual strain,Profenofos,Experimental evidence,Contaminated soil,Thailand,2014,,,,10.1007/s11356-014-3354-1,
Pseudomonas geniculata strain PQ01,Individual strain,Paraquat,Experimental evidence,Agricultural soil,China,2020,,,,10.3389/fmicb.2020.02003,
Pseudomonas putida TISTR 1522,Individual strain,Paraquat,Experimental evidence,Culture collection strain,Not specified,2023,,,,10.3390/toxics11070638,
Bacillus subtilis TISTR 1248,Individual strain,Paraquat,Experimental evidence,Culture collection strain,Not specified,2023,,,,10.3390/toxics11070638,
Aspergillus tamarii PRPY-2,Individual strain,Paraquat,Experimental evidence,Contaminated soil,Thiland,2020,,,,10.1111/lam.13439,
Cunninghamella sp. PFCM-1,Individual strain,Paraquat,Experimental evidence,Contaminated soil,Thailand,2020,,,,10.1111/lam.13439,
Burkholderia sp. FDS-1,Individual strain,Fenitrothion,Experimental evidence,Wastewater,China,2006,Hydrolases,Organophosphorus hydrolase,mpd,10.1007/s10532-005-7130-2,Fenitrothion organophosphorus hydrolysis products
Burkholderia sp. NF100,Individual strain,Fenitrothion,Experimental evidence,Contaminated soil,Japan,2000,Hydrolases,Organophosphorus hydrolase,"pNF1, pNF2",10.1128/AEM.66.4.1737-1740.2000,
Cunninghamella elegans ATCC 36112,Individual strain,Fenitrothion,Experimental evidence,Culture collection strain,USA,2017,Oxidoreductases,Fungal oxidative & hydrolytic enzymes,,10.1021/acs.jafc.7b04273,
Hyphomicrobium sp. DY-1,Individual strain,Pyraclostrobin,Experimental evidence,Agriculture soil,China,2021,Hydrolases,Detoxification esterase (esterase family VII),strH,10.1128/AEM.00103-21,Pyraclostrobin acid
Burkholderia sp. Pyr-1,Individual strain,Pyraclostrobin,Experimental evidence,Activated sludge,China,2024,,,,10.1016/j.envpol.2024.123833,
Bacillus sp. TAP-1,Individual strain,Triazophos,Experimental evidence,Contaminated water,China,2012,,,,10.1016/j.micres.2011.10.004,
Klebsiella sp. E6,Individual strain,Triazophos,Experimental evidence,Contaminated soil,China,2005,,,,10.1016/j.femsle.2005.09.044,
Bacillus thuringiensis MB497,Individual strain,Triazophos,Experimental evidence,Soil,Pakistan,2020,Phosphatases,Acidic organophosphorus phosphatase (OPP),,10.1016/j.heliyon.2020.e04221,
Bacillus thuringiensis MB497,Individual strain,Triazophos,Experimental evidence,Soil,Pakistan,2020,Phosphatases,Alkaline organophosphorus phosphatase (OPP),,10.1016/j.heliyon.2020.e04221,
Diaphorobacter sp. TPD-1,Individual strain,Triazophos,Experimental evidence,Contaminated soil,China,2011,Not specified,Hydrolytic enzymes (functional),,10.1007/s00284-010-9859-z,
Burkholderia sp. SZL-1,Individual strain,Triazophos,Experimental evidence,Contaminated soil,China,2016,Hydrolases,Triazophos hydrolase,trhA,10.1093/femsle/fnw108,"1-phenyl-3-hydroxy-1,2,4-triazole (PHT)"
Bacillus amyloliquefaciens YP6,Individual strain,Triazophos,Experimental evidence,Soil,China,2019,Phosphatases,Alkaline phosphatase (AP3) (EC 3.1.3.1),Not specified,10.1080/03601234.2019.1571363,
Enterobacter sp. Z1,Individual strain,Triazophos,Experimental evidence,Wastewater,China,2020,,,"oph, paaC",10.1016/j.chemosphere.2020.128054,
Pseudomonas kilonensis MB490,Individual strain,Triazophos,Experimental evidence,Agriculture soil,Pakistan,2020,,,,10.1080/03601234.2020.1823171,
Pseudomonas kilonensis MB498,Individual strain,Triazophos,Experimental evidence,Agriculture soil,Pakistan,2020,,,,10.1080/03601234.2020.1823171,
Pseudomonas sp. MB504,Individual strain,Triazophos,Experimental evidence,Agriculture soil,Pakistan,2020,,,,10.1080/03601234.2020.1823171,
Cupriavidus nantongensis X1ᵀ,Individual strain,Triazophos,Experimental evidence,Activated sludge,China,2019,Hydrolases,Organophosphorus hydrolase,opdB,10.1021/acs.jafc.9b06157,
Sphingomonas phylotype (B13),Individual strain,Thiabendazole,Experimental evidence,Wastewater,Greece,2017,,,,10.1007/s00253-017-8128-5,
Burkholderia sp. JS667,Individual strain,Diphenylamine,Experimental evidence,Contaminated sediment,USA,2009,Dioxygenases,Multicomponent ring-hydroxylating dioxygenase,"dpaAa, tdnC",10.1128/AEM.02198-08,Aniline; catechol
Desulfovibrio sp. strain SHV,Individual strain,Diphenylamine,Experimental evidence,Marine sediment,Germany,1998,,,,10.1007/PL00006754,
Desulfococcus multivorans DSM 2059,Individual strain,Diphenylamine,Experimental evidence,Marine sediment,Germany,1995,,,,10.1128/aem.61.9.3282-3287.1995,
Desulfobacterium anilini DSM 4660,Individual strain,Diphenylamine,Experimental evidence,Marine sediment,Germany,1995,,,,10.1128/aem.61.9.3282-3287.1995,
Syncephalastrum racemosum,Individual strain,Metalaxyl,Experimental evidence,Agriculture soil,Spain,1997,,,,10.1128/aem.55.1.66-71.1989,
Gongronella sp.,Individual strain,Metalaxyl,Experimental evidence,Not specified,Not specified,2017,,,,10.3390/molecules22122225,
Rhizopus oryzae,Individual strain,Metalaxyl,Experimental evidence,Not specified,Not specified,2017,,,,10.3390/molecules22122225,
Brevibacillus brevis,Individual strain,Metalaxyl,Experimental evidence,Agriculture soil,Germany,2013,,,,10.1002/chir.22158,
Candida tropicalis,Individual strain,Metalaxyl,Experimental evidence,Conataminated soil,Not specified,2020,,,,10.1007/s00284-020-02121-0,
Penicillium sp. 1,Individual strain,Metalaxyl,Experimental evidence,Agriculture soil,Portugal,2013,,,,10.1007/s00244-013-9877-5,
Penicillium sp. 2,Individual strain,Metalaxyl,Experimental evidence,Agriculture soil,Portugal,2013,,,,10.1007/s00244-013-9877-5,
Mycelium sterila 1,Individual strain,Metalaxyl,Experimental evidence,Agriculture soil,Portugal,2013,,,,10.1007/s00244-013-9877-5,
Gongronella sp.,Individual strain,Metalaxyl,Experimental evidence,Agriculture soil,Portugal,2013,,,,10.1007/s00244-013-9877-5,
Rhizopus stolonifer,Individual strain,Metalaxyl,Experimental evidence,Agriculture soil,Portugal,2013,,,,10.1007/s00244-013-9877-5,
Trametes versicolor,Individual strain,Bentazone,Experimental evidence,Culture collection strain,USA,2021,Oxidoreductases,Laccase,,10.1016/j.jhazmat.2020.124476,TP256 (hydroxyl-bentazone); TP268 (oxidized N-methyl-bentazone form); TP284a (further oxidized N-methyl-bentazone form); TP284b (carboxylated bentazone form); TP285 (hydroxylated N-nitroso bentazone form)
Trametes versicolor,Individual strain,Bentazone,Experimental evidence,Culture collection strain,USA,2021,P450,Cytochrome P450,,10.1016/j.jhazmat.2020.124476,TP256 (hydroxyl-bentazone); TP268 (oxidized N-methyl-bentazone form); TP284a (further oxidized N-methyl-bentazone form); TP284b (carboxylated bentazone form); TP285 (hydroxylated N-nitroso bentazone form)
Pleurotus ostreatus,Individual strain,Aldrin and Dieldrin,Experimental evidence,Culture collection strain,Japan,2017,,,,10.1007/s00284-016-1184-8,
Wood-rot,Individual strain,Aldrin and Dieldrin,Experimental evidence,Not specified,Not specified,2010,,,,10.1002/ps.1958,
Phlebia acanthocystis,Individual strain,Aldrin and Dieldrin,Experimental evidence,Culture collection strain,Japan,2011,,,,10.1016/j.chemosphere.2011.06.028,
Phlebia brevispora,Individual strain,Aldrin and Dieldrin,Experimental evidence,Culture collection strain,Japan,2011,,,,10.1016/j.chemosphere.2011.06.028,
Phlebia aurea,Individual strain,Aldrin and Dieldrin,Experimental evidence,Culture collection strain,Japan,1971,,,,10.1016/j.chemosphere.2011.06.028,
Trichoderma koningi,Individual strain,Aldrin and Dieldrin,Experimental evidence,Agriculture soil,Not specified,1971,,,,10.1007/BF01796853,
Phanerochaete chrysosporium,Individual strain,Aldrin and Dieldrin,Experimental evidence,Laboratory strain,USA,1990,,,,10.1128/aem.56.8.2347-2353.1990,
Mucor racemosus strain DDF,Individual strain,Aldrin and Dieldrin,Experimental evidence,Contaminated soil,Not specified,2018,,,,10.1584/jpestics.J18-03,Aldrin trans-diol; Aldrin trans-diol exo- and endo-phosphates
Aerobacter aerogenes,Individual strain,Aldrin and Dieldrin,Experimental evidence,Laboratory strain,USA,1968,Hydrolases,Epoxide hydrolase,,10.1128/am.16.4.661-662.1968,
Clostridium sp.,Individual strain,Aldrin and Dieldrin,Experimental evidence,River sediment,Taiwan,2005,,,,10.1016/j.chemosphere.2005.02.018,
Acidaminobacter sp.,Individual strain,Aldrin and Dieldrin,Experimental evidence,River sediment,Taiwan,2005,,,,10.1016/j.chemosphere.2005.02.018,
Bacillus sp.,Individual strain,Aldrin and Dieldrin,Experimental evidence,Agriculture soil,Not specified,1977,Monooxygenases,Epoxidase-like,,10.1128/aem.34.1.7-13.1977,
Micromonospora sp.,Individual strain,Aldrin and Dieldrin,Experimental evidence,Agriculture soil,Not specified,1977,Monooxygenases,Epoxidase-like,,10.1128/aem.34.1.7-13.1977,
Mycobacterium sp.,Individual strain,Aldrin and Dieldrin,Experimental evidence,Agriculture soil,Not specified,1977,Monooxygenases,Epoxidase-like,,10.1128/aem.34.1.7-13.1977,
Nocardia sp.,Individual strain,Aldrin and Dieldrin,Experimental evidence,Agriculture soil,Not specified,1977,Monooxygenases,Epoxidase-like,,10.1128/aem.34.1.7-13.1977,
Streptomyces sp.,Individual strain,Aldrin and Dieldrin,Experimental evidence,Agriculture soil,Not specified,1977,Monooxygenases,Epoxidase-like,,10.1128/aem.34.1.7-13.1977,
Thermoactinomyces sp.,Individual strain,Aldrin and Dieldrin,Experimental evidence,Agriculture soil,Not specified,1977,Monooxygenases,Epoxidase-like,,10.1128/aem.34.1.7-13.1977,
Pseudomonas sp.,Individual strain,Aldrin and Dieldrin,Experimental evidence,Agriculture soil,Not specified,1977,Monooxygenases,Epoxidase-like,,10.1128/aem.34.1.7-13.1977,
Pseudomonas fluorescens,Individual strain,Aldrin and Dieldrin,Experimental evidence,Laboratory strain,Not specified,2006,,,,10.1080/03601230600701700,
Xanthobacter strain Py2,Individual strain,Propylene oxide,Experimental evidence,Not specified,Not specified,1995,,,,10.1128/jb.177.21.6170-6175.1995,
Xanthobacter strain Py2,Individual strain,Propylene oxide,Experimental evidence,Not specified,Not specified,1995,,,,10.1128/aem.61.4.1507-1513.1995,
Xanthobacter strain Py2,Individual strain,Propylene oxide,Enzymatic evidence,Not specified,Not specified,1996,Oxidoreductases,Pyridine nucleotide-disulfide oxidoreductase,,10.1128/jb.178.22.6644-6646.1996,Propylene oxide oxidation products
Pseudomonas sp. GW13,Individual strain,Chlorantraniliprole,Experimental evidence,Agricultural soil,China,2019,Amidases,Amidase,,10.3390/bioengineering6040106,Chlorantraniliprole amidase transformation products
Enterococcus mundtii E14,Individual strain,Chlorantraniliprole,Experimental evidence,Insect gut,China,2024,,,,10.1016/j.pestbp.2024.106060,
Pseudomonas paucimobilis,Individual strain,Dicamba,Experimental evidence,Water,USA,1995,Oxidoreductases,Dicamba demethylase,,10.1007/BF01569952,
Rhizorhabdus dicambivorans Ndbn-20,Individual strain,Dicamba,Experimental evidence,Agricultural soil,China,2020,Dioxygenases,"Gentisate 1,2-dioxygenase",DsmD and GtdA,10.1021/acs.jafc.0c01523,
Pseudomonas maltophilia DI-6,Individual strain,Dicamba,Enzymatic evidence,Soil,USA,1997,Monooxygenases,Dicamba monooxygenase,"ddmA, ddmB, ddmC",10.1128/aem.63.4.1623-1626.1997,"3,6-dichlorosalicylic acid"
Stenotrophomonas maltophilia DI-6,Individual strain,Dicamba,Enzymatic evidence,Soil,USA,2009,Monooxygenases,Dicamba monooxygenase,dmo,10.1016/j.jmb.2009.07.021,
Rhizorhabdus dicambivorans Ndbn-20,Individual strain,Dicamba,Enzymatic evidence,Contaminated soil,China,2022,Oxidoreductases,THF-dependent demethylase,dmt06,10.3389/fmicb.2022.978577,"3,6-dichlorosalicylate"
Pseudomonas sp. CB2,Individual strain,Bifenthrin,Experimental evidence,Activated sludge,China,2018,,,,10.1080/03601234.2018.1431458,
Candida pelliculosa ZS-02,Individual strain,Bifenthrin,Experimental evidence,Not specified,China,2012,Hydrolases,Esterase,,10.1371/journal.pone.0030862,"Cyclopropanecarboxylic acid; 2-methyl-3-biphenylyl methanol; 4-trifluoromethoxyphenol; 2-chloro-6-fluorobenzyl alcohol; 3,5-dimethoxyphenol"
Penicillium chrysogenum PC,Individual strain,Bifenthrin,Experimental evidence,Laboratory strain,Pakistan,2023,Hydrolases,Esterase,,10.21203/rs.3.rs-2442920/v1,
Pseudomonas aeruginosa PAO1,Individual strain,Bifenthrin,Experimental evidence,Laboratory strain,China,2025,Hydrolases,Esterase,estA,10.1016/j.envint.2024.109221,
Rhodococcus sp. FIP_B3,Individual strain,Fipronil,Experimental evidence,Agricultural soil,India,2025,P450,Cytochrome P450,CYP450 family genes,10.1016/j.envpol.2024.125320,
Rhodococcus sp. FIP_B4,Individual strain,Fipronil,Experimental evidence,Agricultural soil,India,2025,Dehalogenases,Dehalogenase,,10.1016/j.envpol.2024.125320,
Pseudomonas sp. FIP_A4,Individual strain,Fipronil,Experimental evidence,Contaminated soil,India,2024,P450,Cytochrome P450,CYP450-like genes,10.1016/j.chemosphere.2024.142944,
Pseudomonas sp. FIP_A4,Individual strain,Fipronil,Experimental evidence,Contaminated soil,India,2024,Dioxygenases,Dioxygenase,,10.1016/j.chemosphere.2024.142944,
Streptomyces rochei AJAG7 (NR),Individual strain,Fipronil,Experimental evidence,Contaminated soil,India,2019,,,,10.1016/j.pestbp.2019.01.011,
Enterobacter chengduensis G2.8,Individual strain,Fipronil,Experimental evidence,Agricultural soil,China,2023,Hydrolases,Esterase,,10.3390/life13091935,Fipronil-sulfone; Fipronil-sulfide
Bacillus sp. FA4,Individual strain,Fipronil,Experimental evidence,Contaminated soil,India,2021,Hydrolases,Esterase,,10.1016/j.chemosphere.2021.130156,
Bacillus firmus,Individual strain,Fipronil,Experimental evidence,Agircultural soil,India,2014,Oxidoreductases,Laccase,,10.1016/j.chemosphere.2013.11.043,
Aspergillus glaucus strain AJAG1,Individual strain,Fipronil,Experimental evidence,Agricultural soil,India,2017,Oxidoreductases,Laccase,,10.1007/s13205-017-0820-8,
Aspergillus glaucus strain AJAG1,Individual strain,Fipronil,Experimental evidence,Agricultural soil,India,2017,Peroxidases,Peroxidase,,10.1007/s13205-017-0820-8,
Ochrobactrum anthropi Strain SH14,Individual strain,Azoxystrobin,Experimental evidence,Activated sludge,Not specified,2020,,,,10.3390/microorganisms8050625,
Hyphomicrobium sp. DY-1,Individual strain,Azoxystrobin,Experimental evidence,Agricultural soil,China,2021,Hydrolases,Esterase,StrH,10.1128/AEM.00103-21,Azoxystrobin acid
Bacillus subtilis MK101,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Not specified,2023,,,"benC, pcaG, pcaH",10.1016/j.scitotenv.2023.164375,
Pseudomonas kermanshahensis MK113,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Not specified,2023,,,"benC, pcaG, pcaH",10.1016/j.scitotenv.2023.164375,
Rhodococcus fascians MK144,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Not specified,2023,,,"benC, pcaG, pcaH",10.1016/j.scitotenv.2023.164375,
Rhodanobacter sp. (CCH1),Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Not specified,2014,,,,10.1016/j.chemosphere.2013.09.048,
Cupriavidus sp. (CCH2),Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Not specified,2014,,,,10.1016/j.chemosphere.2013.09.048,
Bacillus sp. LM655314.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Dehalogenases,Dehydrogenases,,10.1007/s11270-016-3200-9,
Bacillus sp. LM655314.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Oxidoreductases,Catalase,,10.1007/s11270-016-3200-9,
Bacillus sp. LM655314.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Hydrolases,Urease,,10.1007/s11270-016-3200-9,
Bacillus sp. LM655314.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Acid phosphatase,,10.1007/s11270-016-3200-9,
Bacillus sp. LM655314.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Alkaline phosphatase (AP3) (EC 3.1.3.1),,10.1007/s11270-016-3200-9,
Bacillus cereus KC848897.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Dehalogenases,Dehydrogenases,,10.1007/s11270-016-3200-9,
Bacillus cereus KC848897.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Oxidoreductases,Catalase,,10.1007/s11270-016-3200-9,
Bacillus cereus KC848897.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Hydrolases,Urease,,10.1007/s11270-016-3200-9,
Bacillus cereus KC848897.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Acid phosphatase,,10.1007/s11270-016-3200-9,
Bacillus cereus KC848897.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Alkaline phosphatase (AP3) (EC 3.1.3.1),,10.1007/s11270-016-3200-9,
Bacillus weihenstephanensis KF831381.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Dehalogenases,Dehydrogenases,,10.1007/s11270-016-3200-9,
Bacillus weihenstephanensis KF831381.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Oxidoreductases,Catalase,,10.1007/s11270-016-3200-9,
Bacillus weihenstephanensis KF831381.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Hydrolases,Urease,,10.1007/s11270-016-3200-9,
Bacillus weihenstephanensis KF831381.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Acid phosphatase,,10.1007/s11270-016-3200-9,
Bacillus weihenstephanensis KF831381.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Alkaline phosphatase (AP3) (EC 3.1.3.1),,10.1007/s11270-016-3200-9,
Bacillus megaterium KJ843149.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Dehalogenases,Dehydrogenases,,10.1007/s11270-016-3200-9,
Bacillus megaterium KJ843149.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Oxidoreductases,Catalase,,10.1007/s11270-016-3200-9,
Bacillus megaterium KJ843149.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Hydrolases,Urease,,10.1007/s11270-016-3200-9,
Bacillus megaterium KJ843149.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Acid phosphatase,,10.1007/s11270-016-3200-9,
Bacillus megaterium KJ843149.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Alkaline phosphatase (AP3) (EC 3.1.3.1),,10.1007/s11270-016-3200-9,
Aphanoascus terreus AB861677.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Dehalogenases,Dehydrogenases,,10.1007/s11270-016-3200-9,
Aphanoascus terreus AB861677.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Oxidoreductases,Catalase,,10.1007/s11270-016-3200-9,
Aphanoascus terreus AB861677.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Hydrolases,Urease,,10.1007/s11270-016-3200-9,
Aphanoascus terreus AB861677.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Acid phosphatase,,10.1007/s11270-016-3200-9,
Aphanoascus terreus AB861677.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Alkaline phosphatase (AP3) (EC 3.1.3.1),,10.1007/s11270-016-3200-9,
Aphanoascus fulvescens JN943451.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Dehalogenases,Dehydrogenases,,10.1007/s11270-016-3200-9,
Aphanoascus fulvescens JN943451.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Oxidoreductases,Catalase,,10.1007/s11270-016-3200-9,
Aphanoascus fulvescens JN943451.1,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Hydrolases,Urease,,10.1007/s11270-016-3200-9,
Aphanoascus fulvescens JN943451.2,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Acid phosphatase,,10.1007/s11270-016-3200-9,
Aphanoascus fulvescens JN943451.3,Individual strain,Azoxystrobin,Experimental evidence,Contaminated soil,Poland,2017,Phosphotases,Alkaline phosphatase (AP3) (EC 3.1.3.1),,10.1007/s11270-016-3200-9,
Bacillus licheniformis strain TAB7,Individual strain,Azoxystrobin,Experimental evidence,Not specified,Not specified,2021,,,,10.1016/j.chemosphere.2021.129663,
Ensifer adhaerens TMX-23,Individual strain,Thiacloprid,Experimental evidence,Not specified,Not specified,2021,,,"nhcA, nhpA, nhnR/nhnS, nhnH/nhnO",10.1111/jam.15172,
Pseudomonas monteilii FC02,Individual strain,Thiacloprid,Experimental evidence,Contaminated soil,China,2022,,,,10.3389/fmicb.2022.906026,
Pseudomonas kilonensis MB498,Individual strain,Dimethoate,Experimental evidence,Agricultural soil,Pakistan,2022,,,,10.1080/03601234.2021.2017723,
Sphingomonas sp. DC-6,Individual strain,Dimethoate,Enzymatic evidence,Agricultural soil,China,2016,Hydrolases,Dimethoate amidohydrolase,dmhA,10.1007/s10529-015-2027-6,Dimethoate hydrolysis products
Brevundimonas sp. MCM B-427,Individual strain,Dimethoate,Experimental evidence,Contaminated soil,India,2004,Not specified,Organophosphorus-degrading enzymes (not purified),,10.1023/B:WIBI.0000040378.54329.18,
Raoultella sp. X1,Individual strain,Dimethoate,Experimental evidence,Agricultural soil,China,2009,,,,10.1007/s10532-008-9227-x,
Pseudomonas aeruginosa,Individual strain,Dimethoate,Enzymatic evidence,Water,India,2008,Hydrolases,Dimethoate-degrading enzyme (unspecified esterase),,10.1007/s11274-008-9780-9,
Aeromonas hydrophila,Individual strain,Dimethoate,Enzymatic evidence,Water,India,2008,Hydrolases,Dimethoate-degrading enzyme (unspecified esterase),,10.1007/s11274-008-9780-9,
Proteus mirabilis,Individual strain,Dimethoate,Enzymatic evidence,Water,India,2008,Hydrolases,Dimethoate-degrading enzyme (unspecified esterase),,10.1007/s11274-008-9780-9,
Bacillus pumilus,Individual strain,Dimethoate,Enzymatic evidence,Water,India,2008,Hydrolases,Dimethoate-degrading enzyme (unspecified esterase),,10.1007/s11274-008-9780-9,
Aspergillus niger ZHY256,Individual strain,Dimethoate,Enzymatic evidence,Sewage sludge,China,2001,Hydrolases,Dimethoate hydrolase,,10.1128/AEM.67.8.3746-3749.2001,
Comamonas acidovorans MC1,Individual strain,MCPA,Experimental evidence,Agriculture soil,Not specified,1999,Dioxygenases,α-ketoglutarate-dependent dioxygenase,tfdA,10.1016/S0944-5013(99)80021-4,
Cupriavidus necator AEO106 (pRO101),Individual strain,MCPA,Experimental evidence,Agriculture soil,Europe,2008,Dioxygenases,α-ketoglutarate-dependent dioxygenase,tfdA,10.1111/j.1462-2920.2007.01476.x,
Cupriavidus gilardii T1,Individual strain,MCPA,Experimental evidence,Agriculture soil,China,2022,Dioxygenases,Ether-cleaving dioxygenase,tfdA-like,10.1016/j.envpol.2022.119220,
Ralstonia eutropha JMP134,Individual strain,MCPA,Experimental evidence,Soil,Not specified,2002,Dioxygenases,Dioxygenases,"tfdA, tfdB, tfdC, tfdE",10.1128/jb.184.15.4054-4064.2002,4-chloro-2-methylphenol
Ralstonia eutropha JMP134,Individual strain,MCPA,Experimental evidence,Soil,Not specified,2002,Hydrolases,Hydrolases,,10.1128/jb.184.15.4054-4064.2002,4-chloro-2-methylphenol
Stenotrophomonas maltophilia PM,Individual strain,MCPA,Experimental evidence,Sediment,Denmark,1999,,,,10.1007/s002530000589,
Pseudomonas sp. RPT 52,Individual strain,Imidacloprid,Experimental evidence,Agricultural soil,India,2016,,,,10.1016/j.jhazmat.2015.08.055,
Mycobacterium sp. Strain MK6,Individual strain,Imidacloprid,Experimental evidence,Agricultural soil,Egypt,2015,Monooxygenases,Monooxygenase (proposed),,10.1021/acs.jafc.5b00754,
Pseudoxanthomonas indica CGMCC 6648,Individual strain,Imidacloprid,Experimental evidence,Agricultural soil,China,2014,Hydrolases,Hydroxylase (proposed),,10.1080/03601234.2014.922766,
Bacillus cereus,Individual strain,Imidacloprid,Experimental evidence,Agricultural soil,India,2023,Hydrolases,Esterase (proposed),,10.3390/bioengineering10080951,
Hymenobacter latericoloratus CGMCC 16346,Individual strain,Imidacloprid,Experimental evidence,Surface water,China,2020,P450,Cytochrome P450 monooxygenase (implicated),,10.1186/s13568-019-0942-y,5-hydroxy imidacloprid; Olefin imidacloprid
Sphingobacterium sp. InxBP1,Individual strain,Imidacloprid,Experimental evidence,Contaminated soil,India,2023,Monooxygenases,Nitronate monooxygenase,,10.1016/j.envpol.2023.121402,
Sphingobacterium sp. InxBP1,Individual strain,Imidacloprid,Experimental evidence,Contaminated soil,India,2023,Amidohydrolase,Amidohydrolase,,10.1016/j.envpol.2023.121402,
Sphingobacterium sp. InxBP1,Individual strain,Imidacloprid,Experimental evidence,Contaminated soil,India,2023,Monooxygenases,FAD-dependent monooxygenase,,10.1016/j.envpol.2023.121402,
Bacillus cereus strain NS1,Individual strain,Chlorothalonil,Experimental evidence,Contaminated water,USA,2007,,,,10.1016/j.scitotenv.2007.04.010,
Pseudomonas sp. Strain CDS-8,Individual strain,Chlorothalonil,Experimental evidence,Agricultural soil,China,2016,,,,10.1016/j.jhazmat.2016.07.063,
Stenotrophomonas acidaminiphila BJ1,Individual strain,Chlorothalonil,Experimental evidence,Agricultural soil,China,2017,,,,10.1186/s13568-017-0530-y,
Ochrobactrum sp. CTN-11,Individual strain,Chlorothalonil,Experimental evidence,Contaminated soil,China,2010,Dehalogenases,Hydrolytic dehalogenase,gst-like gene (non-functional),10.1007/s00284-010-9603-8,
Ochrobactrum lupini strain TP-D1,Individual strain,Chlorothalonil,Experimental evidence,Contaminated soil,China,2011,Dehalogenases,Dehalogenation system,,10.1007/s11274-010-0631-0,
