pesticide,paper_title,doi,publication_year,microorganism_or_strain,evidence_category,source_pdf,pesticide_specific_context,biodegradation_term_hits,gene_enzyme_term_hits,pathway_metabolite_term_hits,pesticide_mentions,pesticide_degradation_contexts,microbial_contexts_near_pesticide,gene_enzyme_contexts_near_pesticide,curation_source_folder
Thiamethoxam,Contents lists available at ScienceDirect,10.1016/j.jhazmat.2020.124275,2021,CPN 1. Biodegradation 19; RHA1. Appl. Environ. 616,Gene/enzyme and pathway/metabolite evidence,Influence of the neonicotinoid insecticide thiamethoxam on soil bacterial community composition and metabolic function..pdf,"gy, Institute of Cotton Research, Chinese Academy of Agricultural Sciences, Anyang, Henan 455000, China A R T I C L E I N F O A B S T R A C T Keywords: Understanding of neonicotinoid insecticides toxicity on non-target organisms, such as bees, has indirectly pro­ Bacteria moted their soil treatment use. However, their effect on soil ecosystems haven’t fully understood. Here, based on Degradation genes 16S rRNA high-throughput sequencing and metagenomics, the effects of neonicotinoid insecticide thiamethoxam Metagenomics on bacterial communities and metabolic functions in two types of soils were studied. Thiamethoxam treatment Neonicotinoid insecticides Soil significantly affected soil bacterial abundance, reduced microbial diversity, and changed the bacterial commu­ nity structure in the short term, and the structure soon returned to a stable state. Soil type and time were important fact",64,105,17,77,25,38,22,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,Environmental Pollution 274 (2021) 116540,10.1016/j.envpol.2021.116540,2021,Sphingo,Gene/enzyme and pathway/metabolite evidence,Reduced bacterial network complexity in agricultural soils after application of the neonicotinoid insecticide thiamethoxam..pdf,"nistry of Agriculture, Zhejiang University, Hangzhou, 310058, China c Key Laboratory of Biology of Crop Pathogens and Insects of Zhejiang Province, Zhejiang University, Hangzhou, 310058, China a r t i c l e i n f o a b s t r a c t Article history: Pesticides may alter soil microbial community structure or diversity, but their impact on microbial coReceived 15 November 2020 occurrence patterns remains unclear. Here, the effect of the widely used neonicotinoid insecticide Received in revised form thiamethoxam on the bacterial community in ﬁve arable soils was deciphered using the 16S rRNA gene 4 January 2021 amplicon sequencing technique. The degradation half-life of thiamethoxam in nonsterilized soils was Accepted 16 January 2021 Available online 23 January 2021 signiﬁcantly lower than that in sterilized soils, suggesting a considerable contribution from biodegra dation. Soil bacterial co",30,20,2,94,13,40,12,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiophanate-Methyl,"doi:10.1093/chromsci/bmt165 Advance Access publication November 19, 2013 Article",10.1007/s00216-013-6901-6,2014,,Gene/enzyme and pathway/metabolite evidence,Simultaneous determination of thiophanate-methyl and its metabolite carbendazim in tea using isotope dilution ultra performance liquid chromatography-tandem mass spectrometry..pdf,"Journal of Chromatographic Science 2014;52:1157– 1164 doi:10.1093/chromsci/bmt165 Advance Access publication November 19, 2013 Article Simultaneous Determination of Thiophanate-Methyl and Its Metabolite Carbendazim in Tea Using Isotope Dilution Ultra Performance Liquid Chromatography– Tandem Mass Spectrometry Hongping Chen1,2, Xin Liu1,2*, Chuanpi Wang1,2, Qinghua Wang1,2, Ying Jiang1,2, Peng Yin1 and Li Zhu1,2 1 Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou, Zhejiang 310008, China and 2Tea Quality and Supervision Testing Center, Ministry of Agriculture, Hangzhou, Zhejiang 310008, China *Author to whom correspondence should be addressed. Email: l",37,2,30,15,12,10,0,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiophanate-Methyl/PesticideDB_curation_Thiophanate_Methyl_20260707
Thiophanate-Methyl,Contents lists available at ScienceDirect,10.1016/j.chroma.2016.02,2016,,Gene/enzyme and pathway/metabolite evidence,Characterization of the ultraviolet-visible photoproducts of thiophanate-methyl using high performance liquid chromatography coupled with high resolution tandem mass spectrometry-Detection in grapes and tomatoes..pdf,"ion of the ultraviolet–visible photoproducts of thiophanate-methyl using high performance liquid chromatography coupled with high resolution tandem mass spectrometry—Detection in grapes and tomatoes Houda Chayata, Yannick Lassalle, Édith Nicol, Sophia Manolikakes, Yasmine Souissi, Sophie Bourcier, Corinne Gosmini, Stéphane Bouchonnet ∗ LCM, CNRS, École Polytechnique, Université Paris-Saclay, 91128 Palaiseau, France a r t i c l e i n f o a b s t r a c t Article history: UV–visible irradiation of thiophanate-methyl (TM) led to the formation of nine photoproducts that were Received 13 January 2016 characterized by high performance liquid chromatography coupled with high resolution Fourier transReceived in revised form 25 February 2016 form ion cyclotron resonance mass spectrometry (FTICR-MS). Although carbendazime has been reported Accepted 26 February 2016 in the literature to be the major",34,4,119,57,26,12,3,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiophanate-Methyl/PesticideDB_curation_Thiophanate_Methyl_20260707
Thiophanate-Methyl,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/337848624",10.1002/fsn3.328,2020,with T5. The trend,Gene/enzyme and pathway/metabolite evidence,Substrate sterilization with thiophanate-methyl and its biodegradation to carbendazim in oyster mushroom (Pleurotus ostreatus var. florida)..pdf,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/337848624 Substrate sterilization with thiophanate-methyl and its biodegradation to carbendazim in oyster mushroom (Pleurotus ostreatus var. ﬂorida) Article in Environmental Science and Pollution Research · January 2020 DOI: 10.1007/s11356-019-07050-5 CITATIONS READS 9 1,255 5 authors, including: Ved Parkash Parkash Sharma Anil Kumar Directorate of Mushroom Research ICAR-Directorate of Mushroom Research, Chambaghat, Solan (HP) 93 PUBLICATIONS 1,390 CITATIONS 86 PUBLICATIONS 278 CITATIONS SEE PROFILE SEE PROFILE Satish Kumar Anupam Barh Directorate of",19,5,15,51,25,11,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiophanate-Methyl/PesticideDB_curation_Thiophanate_Methyl_20260707
Thiophanate-Methyl,Contents lists available at ScienceDirect,10.1016/j.ijbiomac.2023.124354,2023,and treated with various; treated with the TM; was Aldrich; was applied instead of; was found to be; was used to evaluate,Gene/enzyme and pathway/metabolite evidence,Self-assembled thiophanate-methylstar polycation complex prevents plant cell-wall penetration and fungal carbon utilization during cotton infection by Verticillium dahliae..pdf,"N F O A B S T R A C T Keywords: No effective fungicides are available for the management of Verticillium dahliae, which causes vascular wilt Cotton disease. In this study, a star polycation (SPc)-based nanodelivery system was used for the first time to develop a Drug delivery thiophanate-methyl (TM) nanoagent for the management of V. dahliae. SPc spontaneously assembled with TM Nanopesticide through hydrogen bonding and Van der Waals forces to decrease the particle size of TM from 834 to 86 nm. Thiophanate-methyl Verticillium wilt Compared to TM alone, the SPc-loaded TM further reduced the colony diameter of V. dahliae to 1.12 and 0.64 cm, and the spore number to 1.13 × 108 and 0.72 × 108 cfu/mL at the concentrations of 3.77 and 4.71 mg/L, respectively. The TM nanoagents disturbed the expression of various crucial genes in V. dahliae, and contributed to preventing plant cell-wall degrada",15,83,20,17,2,12,10,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiophanate-Methyl/PesticideDB_curation_Thiophanate_Methyl_20260707
Thiophanate-Methyl,CONCLUSION ON PESTICIDES PEER REVIEW,10.1016/j.foodcont.2014.03.003,2025,,Gene/enzyme and pathway/metabolite evidence,Peer review of the pesticide risk assessment of the active substance thiophanate-methyl..pdf,"lation (EC) No 1107/2009 of the European Parliament and of the Council. The conclusions laid down in this report were reached on the basis of the evaluation of the representative uses of thiophanate-methyl as a fungicide on wine grapes, tomato, aubergine, leek, fresh beans with pods and wheat (winter and durum), as proposed by the applicant. Full details of the representative uses can be found in Appendix A of this report. Data were submitted to conclude that the proposed representative uses of thiophanate-methyl result in a sufﬁcient fungicidal efﬁcacy against the target organisms. A data gap has been identiﬁed for a search of the scientiﬁc peer-reviewed open literature on the active substance and its relevant metabolites, in the mammalian toxicology section, for a detailed assessment of the published literature and for a tomato processing study considered relevant by EFSA that should h",157,17,153,168,13,9,5,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiophanate-Methyl/PesticideDB_curation_Thiophanate_Methyl_20260707
Triazophos,Curr Microbiol (2011) 62:1294–1301,10.1007/s00284-010-9746-7,2011,Diaphorobacter sp. TPD-1 was; Diaphorobacter triazophos or PHT; Dsp-2; During the triazophos biodegradation; E6; GS-1 and its degrading,Gene/enzyme and pathway/metabolite evidence,Identification of the biochemical degradation pathway of triazophos and its intermediate in Diaphorobacter sp. TPD-1.pdf,"Curr Microbiol (2011) 62:1294–1301 DOI 10.1007/s00284-010-9859-z Identification of the Biochemical Degradation Pathway of Triazophos and its Intermediate in Diaphorobacter sp. TPD-1 Chengli Yang • Rong Li • Yao Song • Kai Chen • Shunpeng Li • Jiandong Jiang Received: 2 November 2010 / Accepted: 16 December 2010 / Published online: 7 January 2011 Ó Springer Science+Business Media, LLC 2011 Abstract Triazophos is one of the most widely used Introduction organophosphorus insecticides usually detectable in the environment. A bacterial strain, Diaphorobacter sp. TPD-1, Organophosphorus insecticides (OPs) are frequently capable of",121,11,63,108,34,32,11,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707
Triazophos,"FEMS Microbiology Letters Advance Access published April 19, 2016",,2016,E6. Strain TPD-1 could; FLN-7 that hydrolyzes amide; G1 could degrade 34; GS-1 and its degrading; GS-1 could degrade 100; Klebsiella sp E6 effectively,Gene/enzyme and pathway/metabolite evidence,"Cloning, expression and mutation of a triazophos hydrolase gene from Burkholderia sp. SZL-1..pdf","cn Downloaded from http://femsle.oxfordjournals.org/ by guest on April 26, 2016 1 Abstract Triazophos is a broad-spectrum and highly effective insecticide, and the residues of triazophos have been frequently detected in the environment. A triazophos-degrading bacterium, Burkholderia sp. SZL-1, was isolated from a long-term triazophos-polluted soil. Strain SZL-1 could hydrolyze triazophos to 1-phenyl-3-hydroxy-1,2,4-triazole (PHT), which was further utilized as the carbon sources for growth. The triazophos hydrolase gene trhA, cloned from strain SZL-1, was expressed and homogenously purified using Ni-nitrilotriacetic acid affinity chromatography. TrhA is 55 kDa and displays maximum activity at 25℃, pH 8.0. This enzyme still has nearly 60% activity at the range of 15-50℃ for 30 min. TrhA was mutated by sequential error prone PCR and screened for improved activity for triazophos degradation",50,71,33,87,30,36,24,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707
Triazophos,"Pesticides, Food Contaminants, and Agricultural Wastes",10.1002/jobm.201500336,2019,B. amyloliquefaciens YP6 was; Burkholderia sp. FDS-1 and; C2A1. J. from YP6; ML-1. Arch. Biol. Sci; Stenotrophomonas sp; YP6,Gene/enzyme and pathway/metabolite evidence,An alkaline phosphatase from Bacillus amyloliquefaciens YP6 of new application in biodegradation of five broad-spectrum organophosphorus pesticides..pdf,"10.3. The activity of AP3 was enhanced by Mg2þ, Ca2þ, and Cu2þ, and strongly inhibited by Mn2þ, phorus pesticide; EDTA, and L-Cys. Compared to disodium phenyl phosphate, p-nitrophenyl phosphate (pNPP) was biodegradation; Bacillus more suitable to AP3, and the Vm, Km, kcat, kcat/Km values of AP3 for pNPP were 4,033 U mg 1, amyloliquefaciens 12.2 mmol L 1, 3.3 106 s 1, and 2.7 108 s 1mol 1L, respectively. Degradation of the five OPs, which included chlorpyrifos, dichlorvos, dipterex, phoxim, and triazophos, was 18.7%, 53.0%, 5.5%, 68.3%, and 96.3%, respectively, after treatment with AP3 for 1 h. After treatment of the OP for 8 h, AP3 activities remained more than 80%, with the exception of phoxim. It can be postulated that AP3 may have a broad OP-degradation ability and could possibly provide excellent potential for biodegradation and bioremediation in polluted ecosystems. Introduction ar",107,87,14,11,10,6,9,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707
Triazophos,"Cite This: J. Agric. Food Chem. 2019, 67, 13558−13567 pubs.acs.org/JAFC",10.1021/acs.jafc.9b06157,2020,C2A1. J. Hazard; CNP-8; Dsp-2; HNM. J. Basic Microbiol; However; Stenotrophomonas sp. SMSP-1 and,Gene/enzyme and pathway/metabolite evidence,Minute-Speed Biodegradation of Organophosphorus Insecticides by Cupriavidus nantongensis X1T.pdf,"States * S Supporting Information Downloaded via ORTA DOGU TEKNIK UNIV on July 12, 2020 at 17:17:00 (UTC). ABSTRACT: Organophosphorus insecticides (OPs) have been widely used to control agricultural pests, which has raised concerns about OP residues in crops and the environment. In this study, we investigated the degradation kinetics and pathways of 8 OPs by Cupriavidus nantongensis X1T and identiﬁed the enzyme via gene cloning and in vitro assays. The degradation half life of methyl parathion, triazophos, and phoxim was only 5, 9, and 43 min, respectively. It was 46 fold faster than that of triazophos by Bacillus sp. TAP-1, a well-studied triazophos-degrader. Strain X1T completely degraded not only chlorpyrifos, methyl parathion, parathion, fenitrothion, triazophos, and phoxim at 50 mg/L within 48 h but also the phenolic metabolites. This was the fastest degradation of OPs by bacterial",265,89,76,40,40,39,24,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707
Triazophos,Microbiological Research 167 (2012) 299–305,10.1016/j.micres.2011.10.004,2022,ANctcri1; B-5. J Biosci Bioeng; B230; Bacillus sp. TAP-1 was; Barik S; CCGE2286,Gene/enzyme and pathway/metabolite evidence,"Isolation, identification and characterization of a novel triazophos-degrading Bacillus sp. (TAP-1)..pdf","ewage sludge in a wastewater treatReceived 13 June 2011 ing system of organophosphorus pesticide produced by Funong Group Co. in Jianou, Fujian, southeastern Received in revised form 22 October 2011 China. The isolate is a gram-positive and rod-shaped bacterium capable of hydrolyzing insecticide triAccepted 24 October 2011 azophos and was identiﬁed as a strain of Bacillus using polyphasic taxonomy combined with analysis of the morphological and physio-biochemical properties. TAP-1 could degrade triazophos through coKeywords: metabolism. When fed with nutrients such as yeast extract, peptone and glucose, TAP-1 could degrade Triazophos 98.5% of TAP in the medium (100 mg/l) within 5 days. The optimal pH and temperature for the degraDegradation Bacillus sp. dation were 6.5–8 and 32 ◦ C, respectively. An enzyme distribution experiment showed that the enzyme responsible for TAP degradation app",111,65,18,45,26,35,27,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707
Trifloxystrobin,Trifloxystrobin-induced mitophagy through mitochondrial,,2016,,Gene/enzyme and pathway/metabolite evidence,Trifloxystrobin-induced mitophagy through mitochondrial damage in human skin keratinocytes..pdf,"nter, Biterials, Goyang 10326, Korea (Received June 9, 2016; Accepted August 11, 2016) ABSTRACT — Trifloxystrobin is a strobilurin class fungicide, the mode of action of which is to block the mitochondrial electron transport chain and inhibit energy production in fungi. Although adverse effects have been reported by occupational or environmental exposure of fungicides, the pathophysiologi cal mechanism in human cells remains poorly understood. In the present study, we investigated the impact of trifloxystrobin on exposed skin at the cellular organelle level using HaCaT, the human skin keratinocyte cell line. Cells were treated with trifloxystrobin for 48 hr and trifloxystrobin showed detrimental effects on mitochondria evidenced by altered mitochondrial membrane potential and morphology. To identify autophagic degradation of the damaged mitochondria, confocal imaging and Western blotting",7,32,9,17,6,12,11,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin/PesticideDB_curation_Trifloxystrobin_20260707
Trifloxystrobin,"Wang et al. Zool. Res. 2021, 42(3): 339−349",10.24272/j.issn.2095-8137.2021.056,2021,,Gene/enzyme and pathway/metabolite evidence,Potential aquatic environmental risks of trifloxystrobin Enhancement of virus susceptibility in zebrafish through initiation of autophagy..pdf,"ion, Meishan Campus, Ningbo University, Ningbo, Zhejiang 315832, China 4 Ningbo Customs District Technology Center, Ningbo, Zhejiang 315832, China ABSTRACT that autophagy was induced by TFS, and associated Chronic pollution in aquatic ecosystems can lead to changes included an increase in autophagosomes, many adverse effects, including a greater conversion of LC3-II, accumulation of Beclin-1, and susceptibility to pathogens among resident biota. degradation of P62 in EPC cells and zebrafish. In Trifloxystrobin (TFS) is a strobilurin fungicide widely addition, TFS markedly decreased the expression used in Asia to control soybean rust. However, it has and phosphorylation of mTOR, indicating that the potential to enter aquatic ecosystems, where it activation of TFS may be associated with the mTORmay impair fish resistance to viral infections. To mediated autophagy pathway. This study provid",8,51,15,19,8,10,13,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin/PesticideDB_curation_Trifloxystrobin_20260707
Trifloxystrobin,Contents lists available at ScienceDirect,10.1002/1099-1646(200009/10,2025,,Gene/enzyme and pathway/metabolite evidence,Effect of intermittent water flow on biodegradation of organic micropollutants in the hyporheic zone..pdf,"understanding the flow dynamics in HZs is crucial for gaining Biodegradation insights into the degradation of organic micropollutants. A lab-scale study using column experiments was con­ flow intermittency ducted in an attempt to elucidate the environmental processes accounting for the biodegradation capacity of the Organic micropollutants HZ under flow intermittency. A mixture of six compounds including pesticides (chloranthraniliprole, fluopyram Reductive pathways Transformation products and trifloxystrobin) and pharmaceuticals (venlafaxine, amisulpride and paroxetine) spiked at 1 μg/L level was used for degradation kinetic studies and at 1 mg/L for transformation products identification using suspect/non target liquid chromatography high-resolution mass spectrometry approaches. The experiments lasted 60 days, divided into two 14-day phases: one before and one after a 5-week desiccati",163,35,48,20,15,9,10,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin/PesticideDB_curation_Trifloxystrobin_20260707
Trifloxystrobin,Evaluation of Chronic Dietary Risk of Trifloxystrobin and,10.3390/foods14101745,2025,,Gene/enzyme and pathway/metabolite evidence,Modification of the existing maximum residue levels and setting of import tolerances for trifloxystrobin in various crops (2).pdf,"103%) throughout four spiking levels (0.01, 0.1, 0.3, and 1 mg/kg), with relative stan dard deviations (RSD) ≤ 4.8%. At 3 days after treatment, the residues of trifloxystrobin (including trifloxystrobin acid), bupirimate, and ethirimol in cucumbers were found to range from <0.01 to 0.013 mg/kg, <0.01 to 0.076 mg/kg, and <0.01 to 0.04 mg/kg, respec tively. A chronic dietary risk assessment was conducted using a probabilistic model. The results showed an acceptable chronic risk (RQc ≤ 2.476%) for trifloxystrobin, bupirimate, and ethirimol across different sexes and ages, supporting the conclusion that the use of these fungicides in cucumber cultivation under the tested conditions was safe for Chinese consumers. More research was needed on children because they are at higher risk than other groups. Keywords: trifloxystrobin; bupirimate; metabolite; residue; dietary risk assessment Academic",34,4,60,126,18,9,8,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin/PesticideDB_curation_Trifloxystrobin_20260707
Trifloxystrobin,Xixi Chen Research Article,10.1002/jssc.201400157,2025,,Gene/enzyme and pathway/metabolite evidence,"Simultaneous determination of trifloxystrobin and trifloxystrobin acid residue in rice and soil by a modified quick, easy, cheap, effective, rugged, and safe method using ultra high performance liquid chromatography with ta.pdf","robin and trifloxystrobin acid Fengshou Dong residue in rice and soil by a modified quick, State Key Laboratory for Biology of Plant Diseases and Insect easy, cheap, effective, rugged, and safe Pests, Institute of Plant Protection, Chinese Academy of method using ultra high performance liquid Agricultural Sciences, Beijing, P.R. China chromatography with tandem mass spectrometry Received February 12, 2014 Revised March 12, 2014 A sensitive analytical method for the simultaneous determination of trifloxystrobin and Accepted April 7, 2014 its metabolite trifloxystrobin acid in rice including straw, bran, brown rice and soil was developed by using ultra high performance liquid chromatography coupled with tandem mass spectrometry. The fungicide trifloxystrobin and its metabolite trifloxystrobin acid were extracted using acetonitrile with 1% formic acid v/v and subsequently cleaned up by prim",35,3,41,71,34,15,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin/PesticideDB_curation_Trifloxystrobin_20260707
Vinclozolin,"J. Agric. Food Chem. 1998, 46, 3817−3822 3817",,1998,colonies; degraded isms of the; is not responsible tures; isolated from soil that; of Corynebacterium sp. Attempts; vinclozolin-degrading pure Soil Adaptation,Gene/enzyme and pathway/metabolite evidence,Chemical and biological transformation of the fungicide vinclozolin..pdf,"J. Agric. Food Chem. 1998, 46, 3817−3822 3817 Chemical and Biological Transformation of the Fungicide Vinclozolin Christine Mercadier, Danielle Vega,* and Jean Bastide Centre de Phytopharmacie URA CNRS 461, Université de Perpignan, 52 Avenue de Villeneuve, 66860 Perpignan Cedex, France Two mixed bacterial cultures were isolated from a French soil adapted to the dicarboximide fungicide vinclozolin. The vinclozolin was transformed by the mixed bacterial cultures according to two degradation pathways: (a) the formation of 2-[[(3,5-dichlorophenyl)carbamoyl]oxy]-2-methyl-3 butenoic acid and then 3,5-dichloroan",98,3,36,100,38,39,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin/PesticideDB_curation_Vinclozolin_20260707
Vinclozolin,"J. Microbiol. Biotechnol . (2008), 18(2), 343–349",,2008,Arthobacter sp. Chromatography of; Rhodococcus sp. T1-1. RESULTS; T1-1; T1-1 Human Cell Lines; T1-1 and related organisms; T1-1 carried out as,Gene/enzyme and pathway/metabolite evidence,"Microbial biodegradation and toxicity of vinclozolin and its toxic metabolite 3,5-dichloroaniline..pdf","J. Microbiol. Biotechnol . (2008), 18(2), 343–349 Microbial Biodegradation and Toxicity of Vinclozolin and its Toxic Metabolite 3,5-Dichloroaniline Lee, Jung-Bok , Ho-Yong Sohn , Kee-Sun Shin , Jong-Sik Kim , Min-Sub Jo , Chun-Pyo Jeon , 1,6 2 3 4 1 1,6 Jong-Ok Jang , Jang-Eok Kim , and Gi-Seok Kwon * 1 5 1 1 School of Bioresource Sciences, Andong National University, Andong 760-749, Korea 2 Department of Food and Nutrition, Andong National University, Andong 760-749, Korea 3 Biological Resource Center, Korea Research Institute of Bioscience and Biotechnology (KRIBB), Daejeon 305-600, Korea 4 De",131,14,43,123,30,36,9,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin/PesticideDB_curation_Vinclozolin_20260707
Vinclozolin,Aquatic Toxicology 174 (2016) 179–187,10.1016/j.aquatox.2016.03.001,2016,,Gene/enzyme and pathway/metabolite evidence,Vinclozolin alters the expression of hormonal and stress genes in the midge Chironomus riparius..pdf,"shown Fungicide Endocrine disruption to modify the transcriptional activity of the ecdysone response pathway genes EcR, E74, and Kr-h1 by Midge increasing their mRNA levels. While no changes were observed in disembodied, a gene related with the Stress ecdysone synthesis metabolic pathway, Cyp18A1, which is involved in the inactivation of the active form of ecdysone, was upregulated. Additionally, the expression of two genes related to other hormones, FOXO and MAPR, did not show any changes when Vinclozolin was present. The analysis of stress response genes showed signiﬁcant changes in the mRNA levels of Hsp70, Hsp24, and Gp93, indicating that Vinclozolin activates the cellular stress mechanisms. Finally, the expressions of the genes Cyp4G and GstD3, which encode enzymes involved in phase I and phase II detoxiﬁcation, respectively, were analyzed. It was found that their mRNA levels were a",3,162,39,34,7,8,32,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin/PesticideDB_curation_Vinclozolin_20260707
Vinclozolin,Molecular Sciences,10.3390/ijms231911320,2022,,Gene/enzyme and pathway/metabolite evidence,Chronic Exposure to Endocrine Disruptor Vinclozolin Leads to Lung Damage via Nrf2-Nf-kb Pathway Alterations..pdf,"clozolin is subject to Environmental Protection Agency (EPA) regulation as a pesticide in the United States (U.S. EPA) [1,2]. In addition to these restrictions inside the United States, as of 2006, the use of this pesticide was restricted in numerous nations, including Denmark, Copyright: © 2022 by the authors. Finland, Norway, and Sweden. To assess its risks and hazards to the environment and Licensee MDPI, Basel, Switzerland. animals, a number of tests and regulations have been applied [3,4]. Vinclozolin is created This article is an open access article as extruded or dried flowable granules. Aerial application, chemigation through irrigadistributed under the terms and tion systems, and ground machinery are all options for distribution. The U.S. EPA has conditions of the Creative Commons investigated occupational exposure to vinclozolin or its metabolites, as well as dietary Attributio",16,25,32,92,12,13,6,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin/PesticideDB_curation_Vinclozolin_20260707
Vinclozolin,Effect of Pesticide Vinclozolin Toxicity Exposure on Cardiac,10.3390/toxics11060473,2023,,Gene/enzyme and pathway/metabolite evidence,Effect of Pesticide Vinclozolin Toxicity Exposure on Cardiac Oxidative Stress and Myocardial Damage..pdf,"n harm both human and animal Received: 27 April 2023 health [1–3]. Vinclozolin [3-(3,5-dichlorophenyl)-5-methyl-5-vinyloxazolidine-2,4-dione] Revised: 19 May 2023 (VCZ) is a fungicide, widely used in Europe and the United States [4], for the control of Accepted: 20 May 2023 Sclerotinia sclerotiorum, Monilinia spp., and Botrytis cinerea on vegetables, fruits, grapevine, Published: 23 May 2023 and ornamental plants, as well as in the wine industry [5,6]. Several scientific studies have shown that vinclozolin used in agriculture can become a dangerous environmental and aquatic pollutant [7–9]. VCZ can be dispersed into the environment in several ways, hydrolyzed by microbes, abiotic degradation, or transported through water. Copyright: © 2023 by the authors. VCZ dispersion causes residues and its primary metabolites to accumulate in Licensee MDPI, Basel, Switzerland. water bodies (levels ra",19,65,34,32,6,19,10,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin/PesticideDB_curation_Vinclozolin_20260707
