pmid,doi,year,title,journal,authors,publication_types,abstract,manual_review_status
42365554,10.1007/s10532-026-10328-4,2026,Enhancing chlorpyrifos degradation and plant growth through biochar-assisted microbial remediation.,Biodegradation,Kiran M; Sindhu R; Supreeth M,Journal Article,"The extensive use of chlorpyrifos (CPF) in agriculture has led to persistent soil contamination, posing serious risks to environmental and human health. Developing sustainable, in situ remediation strategies is therefore a priority. This study evaluated an integrated plant-microbe-biochar system for the remediation of CPF-contaminated soils. Indigenous CPF-degrading bacteria were isolated from agricultural soils and screened for degradation efficiency in mineral salts medium (MSM) and soil microcosms. The most efficient isolate, designated C78, was identified by 16S rRNA gene sequencing as Klebsiella pneumoniae. In MSM supplemented with 200 mg/L CPF, K. pneumoniae C78 degraded > 80% of the pesticide within 72 h. The strain also exhibited multiple plant growth-promoting traits, including indole-3-acetic acid production, phosphate solubilization, and ammonia production, and retained these functions in the presence of CPF. Soil microcosm and pot experiments were conducted using Ricinus communis L. grown in soils spiked with CPF (100 and 200 mg/kg), with and without biochar amendment and bacterial inoculation. Inoculation with K. pneumoniae C78 significantly accelerated CPF dissipation compared with non-inoculated controls, and the combined treatment with biochar further enhanced degradation, leading to near-complete CPF removal within 21 days. GC-MS/MS analysis showed no accumulation of common toxic intermediates such as 3,5,6-trichloro-2-pyridinol (TCP) or DETP/TMP. Biochar amendment improved soil conditions and supported higher microbial activity, while plant-microbe interactions in the rhizosphere promoted seed germination, seedling vigor, biomass production, chlorophyll content, and protein levels under CPF stress. Overall, the results demonstrate that integrating CPF-degrading K. pneumoniae C78 with R. communis L. and biochar amendment constitutes a promising, eco-compatible strategy for enhancing CPF degradation and restoring the productivity of contaminated agricultural soils.",Needs manual review before database use
42355284,10.3390/insects17060550,2026,Black Soldier Fly Can Safely Co-Convert Antibiotic Fermentation Residue and Potato Peel Waste into a Valuable Feed Resource.,Insects,Zhang X; Zhao L; Yu G; Henawy AR; Zheng L; Huang F; Cai M; Yu Z,Journal Article,"Among diverse industrial wastes, antibiotic fermentation residues containing high concentrations of nosiheptide pose significant environmental and health risks. This study demonstrates that black soldier fly larvae (BSFL) can effectively degrade the nosiheptide residues within this fermentation matrix when blended with potato peel waste. Optimal degradation efficiency was achieved at a dry weight ratio of 3:5 (antibiotic fermentation residue to potato peel waste), yielding a 40.02% material reduction, an 8.63% bioconversion rate, and a 55.74% nosiheptide degradation rate. Further optimization of the larva-to-feed ratio enhanced nosiheptide degradation to 58.21%. Following 48 h of gut emptying period, no detectable nosiheptide remained within the tissues of the treated BSFL. The harvested larvae demonstrated high nutritional value, with crude protein and crude fat contents reaching up to 35.64% and 32.65%, respectively. The larvae also contained a comprehensive profile of essential amino acids, with the glutamic acid content exceeding 3%, which enhances feed palatability. Highly concentrated antibiotic treatments significantly increased the relative abundance of Bacteroidetes within the BSFL gut microbiota, with Dysgonomonas emerging as the dominant genus. This study highlights a novel strategy for degrading residual nosiheptide and converting waste into a valuable protein source, offering an eco-friendly solution for industrial waste management.",Needs manual review before database use
42353171,10.3390/ijms27125455,2026,Benzovindiflupyr Is Associated with Metabolic Homeostasis Disturbance and Gut-Liver Axis Alterations in Zebrafish: Insights from a Multi-Omics Approach.,International journal of molecular sciences,Miao J; Han S; Dang X; Chen Q; Diao J; Zhu W,Journal Article,"Benzovindiflupyr (BZF) is a newly developed succinate dehydrogenase inhibitor (SDHI) fungicide that is widely used in crop protection, but its potential effects on non-target aquatic organisms remain a concern. In this study, we exposed adult zebrafish (Danio rerio) to 5.0 and 50 μg/L BZF for 28 days. We investigated its impact on the gut-liver axis using a combination of microbiome, biochemical, histological, and metabolomic analyses. BZF exposure damaged intestinal structure, downregulated barrier-related genes, and altered the composition of the gut microbiota. At the same time, serum lipopolysaccharide (LPS) levels increased, which indicates impaired intestinal barrier integrity and microbial dysbiosis. In the liver, BZF caused histopathological alterations, increased serum ALT, AST, and ALP activities, enhanced oxidative stress, and upregulated inflammation-related genes. Liver metabolomic profiling further showed marked disturbances in redox balance and metabolic homeostasis. Correlation analysis also revealed significant associations between altered microbial taxa and differential liver metabolites. Taken together, these results suggest that BZF exposure disrupted intestinal homeostasis and was associated with hepatic metabolic disturbance in zebrafish, potentially through gut-liver axis perturbation. This study expands current understanding of the toxic effects of SDHI fungicides and provides useful evidence for the ecological risk assessment of BZF in aquatic environments.",Needs manual review before database use
42347239,10.3390/pathogens15060627,2026,Assessment of Two Commercial Serological Assays for the Diagnosis and Post-Treatment Follow-Up of Strongyloidiasis in a Cohort of Patients with Chagas Disease.,"Pathogens (Basel, Switzerland)",Gil-Gallardo L; Simon Páez M; Martínez JN; Flores-Chavez MD; Iborra-Bendicho MA; Segovia-Hernández M,Journal Article,"Strongyloidiasis is a neglected tropical disease that frequently coexists with Chagas disease (CD) among individuals from Latin America. Serology is increasingly used for the diagnosis and post-treatment follow-up of strongyloidiasis; however, comparative data on commercially available assays remain limited. We conducted a cross-sectional evaluation in a cohort of fifty-five patients with previously treated CD attending a Tropical Medicine Unit in Spain. All patients underwent serological screening for Strongyloides stercoralis using two commercial ELISA assays: the Strongyloides IgG ELISA kit (DRG Instruments GmbH) (DRG) and Anti-Strongyloides ELISA IgG (Euroimmun Medizinische Labordiagnostika AG) (Euroimmun). A composite reference standard defined infection as seropositivity in combination with eosinophil count (>0.5 × 103 eosinophils per µL) or seropositivity in both assays. Infected individuals received ivermectin and were reassessed one-year post-treatment. Thirty-seven patients (67.3%) met the criteria for strongyloidiasis. Concordance between the assays was substantial (κ = 0.80). According to the composite study definition, both assays identified most patients as infected. At one-year follow-up, significant reductions were observed in DRG and Euroimmun indexes, as well as in eosinophil count (all p < 0.001). Treatment response rates were 83.3% with DRG and 73.3% with Euroimmun. Both ELISA assays showed comparable performance in identifying patients at risk of strongyloidiasis and in monitoring serological response after ivermectin treatment, supporting their usefulness in the management of patients with CD and suspected strongyloidiasis. Routine serological screening should be considered in this high-risk population.",Needs manual review before database use
42336565,10.1016/j.jes.2025.12.014,2026,Microbial arsenate reduction contributes to the enhanced uptake of arsenic by Pteris vittata.,Journal of environmental sciences (China),Li Y; Wang X; Xie M; Li D; He W; Wang X; Cao Y; Tian H,Journal Article,"Pteris vittata, a typical arsenic hyperaccumulator widely used in remediation, has an incompletely understood relationship with microbial arsenic reduction in terms of its arsenic enrichment efficiency. The wild-type and mutant strains without the arsenic-reducing gene were employed to investigate the growth and arsenic enrichment of P. vittata in Yunnan (YN) and Guangxi (GX) soils by a pot experiment. After 60 days of cultivation, compared with the control group, the total biomass of plants treated with wild-type strains and mutant strains increased by 113.81 % and 59.50 % in YN soil, and by 141.86 % and 118.96 % in GX soil, respectively. The arsenic concentration in leaves treated with wild-type strains was 1.29 times (YN) and 1.17 times (GX) higher than that treated with mutant strains. The calculated arsenic enrichment coefficient was 8.07 and 5.18, respectively, under wild-type strain and mutant strain addition. The contribution rate of the arsenic-reducing capacity of bacteria to the promoting effect of wild-type strain on arsenic removal by P. vittata can reach 15.56 %. Arsenic reduction promoted P. vittata's arsenic uptake and contributed to improving its arsenic enrichment efficiency. Above all, microbial arsenic reduction can not only increase the biomass of P. vittata and affect the activity of its antioxidant enzymes but also significantly enhance the arsenic enrichment efficiency of P. vittata. This finding highlights microbial arsenic reduction's important role in enhancing P. vittata's arsenic uptake efficiency and provides a new theoretical foundation for arsenic-contaminated soil microbial remediation.",Needs manual review before database use
42334685,10.1007/s11274-026-05047-0,2026,"Sustainable management of whitefly (Bemisia tabaci) in vegetables using entomopathogenic fungi, Isaria farinosa: Characterization, efficacy, insecticide compatibility with molecular docking insights.",World journal of microbiology & biotechnology,Manjunath M; Kodandaram MH; Divekar PA; Gouri V; Karkute SG; Venkataravanappa V; Rai AB,Journal Article,"Whiteflies are major sap-sucking pests causing significant economic losses worldwide. Excessive reliance on chemical insecticides has resulted in resistance development and adverse effects on non-target organisms as well as on environment. Entomopathogenic fungi (EPF) represent promising ecofriendly alternatives for sustainable pest management. In the present study, an EPF associated with natural epizootics of whitefly (Bemisia tabaci) infesting eggplant was characterized and evaluated under in-vitro conditions for its biocontrol potential. Morphological and molecular studies revealed that, the fungus isolated from infected whitefly is Isaria farinosa. Further, in vitro bioassays confirmed significant insecticidal activity, with 62.28-82.06% adult whitefly mortality after 96 h after treatment at different conidial concentrations. EPF, I. farinosa was found compatible with several insecticides, including cyantraniliprole, sulfoxaflor, flupyridifurone, flonicamid, spiromesifen, difenthiuron, imidacloprid, thiamethoxam, and acetamiprid, used for control of B. tabaci. To explore the molecular basis of pathogenicity, a subtilisin-like protease (Pr1A) associated with cuticle degradation was identified through in silico analysis. The Pr1A sequence was analyzed and its 3D structure was predicted. Protein-protein docking analysis revealed strong interaction between Pr1A and the ecdysone receptor (EcR) of B. tabaci (ΔG = - 11.2 kcal/mol), suggesting possible interference with insect hormonal regulation. Additionally, molecular docking of the fungal metabolite Beauvericin with EcR showed higher binding affinity (- 14.88 kcal/mol) than standard insecticides, indicating its potential role in insecticidal activity. Overall, the findings demonstrate that I. farinosa is an effective biocontrol agent with strong bio-efficacy, compatible with chemical insecticides, and has potential for integration into IPM programs for sustainable management of whiteflies in vegetable crops.",Needs manual review before database use
42330905,10.1016/j.jhazmat.2026.142774,2026,Vallisneria natans drives pesticide removal from agricultural waters: The role of bioaccumulation and epiphytic bacteria.,Journal of hazardous materials,Guo H; Zhang S; Zhang J; Cui J; Li Y; Zhang S; Yu H,Journal Article,"Pesticide mixtures are prevalent in aquatic systems within agricultural regions, but their transport and removal mechanisms in the presence of submerged macrophytes remain unclear. This study investigated changes in water quality, plant physiology, epiphytic microbial communities, and pesticide distribution in wetland substrates during 56 days of repeated exposure to a mixture of 12 pesticides at environmental (0.5 and 1 μg/L) and high (5 and 10 μg/L) concentrations. The average removal rates of total pesticides ranged from 58.61% to 75.52% and decreased with increasing pesticide addition and exposure time. Bioconcentration factors in plants were significantly higher than sediment-water partition coefficients for all pesticides. Notably, triazole pesticides (paclobutrazol, tebuconazole and hexaconazole) tended to accumulate in the system compared to neonicotinoid insecticides (dinotefuran, imidacloprid, and thiamethoxam). Pesticide addition reduced nutrient removal efficiency and induced oxidative damage in V. natans leaves. A total of 3, 14, and 17 biomarkers were identified in Con, PG1, and PG10, respectively, suggesting that PG1 and PG10 disturbed the epiphytic bacterial community. Co-occurrence network analysis revealed potential associations between pesticide residues and epiphytic bacterial taxa in PG10. PICRUSt2-based functional prediction indicated that compared to control, the predicted potential for xenobiotics biodegradation and metabolism was higher in PG1, whereas predicted genes related to starch and hemicellulose decomposition increased and denitrification-related predicted genes decreased in PG10. These data highlight that V. natans can accumulate pesticides and survive repeated pesticide exposure during the 56-day experiment, although high concentration pesticides had adverse effects on V. natans-epiphytic bacterial community.",Needs manual review before database use
42329805,10.7554/eLife.109081,2026,Dopamine and its receptor,eLife,Nian X; Li J; Huang J; Yuan W; Holford P; Beattie GAC; He J; Cen Y,Journal Article,"'Candidatus Liberibacter asiaticus' (CLas), the causal agent of citrus huanglongbing, is transmitted by the Asian citrus psyllid Diaphorina citri. While CLas-positive (CLas+) females exhibit increased fecundity and metabolic demands, their neuroendocrine regulation mechanisms remain unclear. We propose CLas manipulates dopamine (DA) signaling to enhance psyllid fecundity and CLas proliferation. Metabolomics revealed elevated DA in CLas+ females. Silencing DA synthesis genes and receptor DcDop2 via RNAi reduced lipid reserves, fecundity, and ovarian CLas titers. Through combined in vivo and in vitro experiments, we demonstrated that the microRNA miR-31a suppresses DcDop2 expression by binding to its 3' untranslated region. Overexpression of miR-31a resulted in decreased DcDop2 expression and CLas titers in the ovaries, eliciting phenotypic defects akin to DcDop2 knockdown. Furthermore, DcDop2 knockdown and miR-31a overexpression reduced juvenile hormone (JH) levels and adipokinetic hormone (AKH) signaling in fat bodies and ovaries. Consequently, CLas regulates the DA-DcDop2 signaling axis to improve D. citri lipid metabolism and fecundity, while simultaneously promoting its replication. These findings reveal a coevolution between CLas proliferation and ovarian development in the insect host. This discovery enhances our understanding of the molecular interplay between plant pathogens and vector insects and offers novel targets and strategies for HLB field management.",Needs manual review before database use
42324884,10.1002/jobm.70178,2026,Synergistic Biodegradation of Monocrotophos and Plant Growth Stimulation by Soil Bacterial Strains.,Journal of basic microbiology,Harshitha CP; Kumar HKN; Mohana NC; Satish S,Journal Article,"Monocrotophos (MCP) is a widely used insecticide in agriculture, but its high toxicity poses significant environmental and health risks. The biodegradation of monocrotophos by indigenous microbes is crucial in reducing its toxicity. The present study was aimed at assessing plant growth- stimulating factors and the biodegradable ability of monocrotophos of two indigenous soil bacterial strains, CAB1 and SD8, isolated from monocrotophos-contaminated agricultural soils in Mysuru and Mandya, Karnataka, India. Biodegradation was evaluated using spectroscopy and chromatography, with substrate degradation confirmed by the disappearance of the main peak in HPLC profiles and intermediate metabolites identified through FTIR and LC-MS analyses. Molecular characterization identified CAB1 as Stenotrophomonas pavanii (OQ861163) and SD8 as Brevibacillus parabrevis (OQ881083). Results showed that the two bacterial strains utilized MCP as their sole carbon source and exhibited biodegradation rates of 88% and 90%, respectively, under optimal conditions. Results further showed that S. pavanii CAB1 and B. parabrevis SD8 produced ammonia, IAA, catalase, and cellulase, and demonstrated phosphorus and zinc solubilization. The degradation ability of CAB1 and SD8 is attributed to the presence of the opd gene and the opdA gene. Trimethyl phosphate, dimethyl phosphate, cyclohexanone, 2- cyclohexylidene, oxalic acid, and isohexyl pentyl esters were the non-toxic intermediates produced during the biodegradation of MCP. The strains S. pavanii CAB1 and B. parabrevis SD8 can be employed, alongside a microbial consortium formulation, for the detoxification of hazardous pollutants in contaminated soils and promotion of plant growth.",Needs manual review before database use
42323825,10.1021/acs.jafc.6c02476,2026,Antagonistic Mechanisms of Iturin A-4 Derived from,Journal of agricultural and food chemistry,Feng R; Wei M; Zhang X; Li Y; Pu X; Tang S; Xu Z; Huang J,Journal Article,"Sugarcane smut, caused by Sporisorium scitamineum, is a globally destructive disease that severely threatens sugarcane production. In this study, we isolated an endophytic bacterium, Bacillus velezensis ZC2-4, which exhibits inhibitory activity against the mycelial and haploid growth of S. scitamineum. Whole-genome sequencing and bioinformatics analysis predicted 13 secondary metabolite biosynthetic gene clusters, and the antifungal compound was subsequently identified as Iturin A-4 through high-performance liquid chromatography and nuclear magnetic resonance spectroscopy. Transcriptomic analysis and physiological assays revealed antagonistic mechanisms of Iturin A-4 against haploid growth including induction of oxidative stress and interference with cell-cycle progression. Scanning and transmission electron microscopy observations further demonstrated that Iturin A-4 inhibits teliospore germination. Remarkably, Iturin A-4 exhibits broad-spectrum antifungal activity against various fungal pathogens. Collectively, this study identifies B. velezensis ZC2-4 as a promising biocontrol agent and elucidates the antifungal mechanisms of Iturin A-4, providing a foundation for sustainable management of sugarcane smut.",Needs manual review before database use
42320558,10.1016/j.neuro.2026.103497,2026,The role of mTORC2 in the in vitro neurotoxicity of Parkinsonian mimetics 6-OHDA and MPP,Neurotoxicology,Jeremic M; Jovanovic-Tucovic M; Martinovic T; Kravic-Stevovic T; Stevanovic D; Blagojevic S; Markovic I; Trajkovic V,Journal Article,"The mechanistic target of rapamycin complex 2 (mTORC2), a key regulator of cellular metabolism, growth, and survival, remains poorly characterized in the context of dopaminergic neurotoxicity. In this study, we investigated the role of mTORC2 signaling in the survival of SH-SY5Y neuroblastoma cells exposed to the Parkinsonian neurotoxins 1-methyl-4-phenylpyridinium (MPP⁺) and 6-hydroxydopamine (6-OHDA), and examined its interplay with oxidative stress and major stress-responsive signaling pathways. Both neurotoxins induced oxidative stress and mitochondrial damage, accompanied by PINK1 accumulation and culminating in caspase-3 activation, PARP1 cleavage, and apoptotic cell death. These effects were associated with reactive oxygen species (ROS)-dependent phosphorylation of the mTORC2 components Rictor and SIN1, as well as the downstream mTORC2 target Akt (Ser473), indicating activation of mTORC2 signaling in response to neurotoxic insult. RNA interference-mediated depletion of the mTORC2 subunits Rictor, SIN1, or mLST8 reduced Akt phosphorylation and potentiated 6-OHDA-induced cytotoxicity by exacerbating oxidative stress, mitochondrial damage, PINK1 accumulation, and the apoptotic cleavage of caspase-3 and PARP1. In contrast, only Rictor depletion, but not SIN1 or mLST8 knockdown, increased the susceptibility of SH-SY5Y cells to MPP⁺-induced toxicity. Genetic inactivation of mTORC2 reduced basal phosphorylation of the cellular energy sensor AMP-activated protein kinase (AMPK), but did not alter neurotoxin-induced phosphorylation of AMPK or the mitogen-activated protein kinases ERK and JNK. Together, these findings demonstrate a protective role of mTORC2 components against 6-OHDA-induced, and to a lesser extent, MPP+-induced, mitochondrial damage and apoptotic cell death.",Needs manual review before database use
42319576,10.1007/s11033-026-12183-1,2026,Neuroprotective effects of gallic acid in an MPP⁺-induced SH-sy5y cell model of parkinson's disease.,Molecular biology reports,Ulusal H; Dumrul HKY; Dagli S; Oztatlici M; Tarakcioglu M,Journal Article,"BACKGROUND: Parkinson's Disease (PD) represents the second most prevalent neurodegenerative condition which leads to the progressive destruction of dopaminergic neurons in the substantia nigra through oxidative stress mechanisms. The research evaluated Gallic Acid (GA) as a natural polyphenol with proven antioxidant properties for its ability to protect cells from 1-methyl-4-phenylpyridinium (MPP⁺)-induced neurotoxicity in SH-SY5Y dopaminergic cell models. METHODS: The research used SH-SY5Y cells which received 1 mM MPP⁺ treatment alongside different GA concentrations (25, 50 and 100 µM) for 24 and 48 h. The CCK-8 assay measured cell viability while flow cytometry evaluated apoptosis and SOD and MDA levels determined oxidative status through SOD and Catalase and NO measurements. RESULTS: The addition of MPP⁺ resulted in a 32.74% decrease in cell viability at 48 h while simultaneously decreasing SOD and Catalase and NO levels and increasing MDA levels. The addition of 25 µM GA protected cells from damage by increasing their viability to 86.53% at 48 h and decreasing apoptotic cell numbers. Our results revealed that co-treatment with 25-50 µM GA effectively mitigated oxidative damage by preventing the depletion of catalase and NO levels. Furthermore, GA successfully reduced lipid peroxidation; specifically, 25 µM GA decreased MDA levels from 21.18 to 9.64 nM/mg protein at 48 h, thereby restoring the cellular antioxidant defense system against MPP+-induced oxidative stress. CONCLUSIONS: In conclusion, the present study demonstrates that GA exerts a significant neuroprotective effect in an in vitro PD model by modulating the endogenous antioxidant network and alleviating lipid peroxidation. By effectively reversing the depletion of crucial enzymes and reducing apoptosis, GA shows potential therapeutic efficacy against oxidative stress-associated neurodegeneration. These findings suggest that GA is a promising phytochemical candidate warranting further in vivo evaluation to clarify its long-term bioavailability and translational value.",Needs manual review before database use
42311211,10.1002/ddr.70334,2026,"Identification of Quinoline Tethered Thiadiazole/Thiazole Derivatives as Potent Tyrosinase Inhibitors With Promising Anti-Toxoplasma gondii Agents: Design, Synthesis, and Computational Analysis.",Drug development research,Sabt A; Chyb M; Srour AM; Bekier A; Farag H; Shaldam MA; Ibrahim HAA; Saleh A,Journal Article,"Toxoplasmosis, caused by the protozoan parasite Toxoplasma gondii, remains a serious global health concern, largely because current treatments with sulfonamides and pyrimethamine are toxic and increasingly ineffective due to rising drug resistance. In response, this study describes the design, synthesis, and laboratory evaluation of novel hybrid molecules that merge a quinoline backbone with either thiadiazole (compounds 8a-e) or thiazole (compounds 12a-d) bioactive groups to develop safer and more effective therapies. Cytotoxicity tests on mouse (L929) and human (Hs27) fibroblast cell lines revealed distinct safety profiles: the thiadiazole hybrids (8a-e) were significantly toxic to host cells, whereas the thiazole-based versions (12a-d) were much safer, with several showing no toxicity even at 250 µg/mL. When tested against T. gondii, the quinoline-thiazole hybrids proved the most effective. Notably, 12b and 12c achieved IC50 values of 0.40 and 0.52 µg/mL, respectively, better than the reference drug pyrimethamine (IC50 = 0.74 µg/mL). Compound 12c emerged as the top candidate, with an excellent selectivity index (SI) of 71.0 in human Hs27 cells. Further mechanistic work showed that 12c strongly inhibits tyrosinase, a potential parasitic target. Kinetic studies revealed a mixed-type inhibition mechanism, with an IC50 of approximately 5 µM, 10 times more potent than kojic acid (48 µM), a standard inhibitor. Molecular docking and dynamics simulations confirmed stable binding between 12c and tyrosinase. Together, these findings underscore the therapeutic promise of the quinoline-thiazole scaffold, particularly compound 12c, as a lead for developing targeted, low-toxicity anti-toxoplasmosis drugs. The results are expected to expand the existing toolkit of small molecules targeting the parasite and reinforce the importance of molecular hybridization in drug development. Additional research is needed to clarify how these compounds work and to assess their effectiveness in living organisms in order to fully unlock their potential as anti-parasitic drugs.",Needs manual review before database use
