pesticide_folder,total_pdf_named_files,pdf_header_files,html_placeholder_files,unknown_or_unreadable_files,sample_pdf_header_files,sample_placeholder_files
Propamocarb,11,11,0,0,"Analysis of genes and metabolites associated with propamocarb hydrochloride response in tobacco.pdf | Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Degradation of propamocarb-hydrochloride in tomatoes, potatoes and cucumber using HPLC-DAD and QuEChERS methodology..pdf | Expression and Functional Analysis of the Propamocarb-Related Gene CsMCF in Cucumber.pdf | Expression and functional analysis of the Propamocarb-related gene CsDIR16 in cucumbers..pdf",
Propargite,4,4,0,0,"Biodegradation of propargite by Pseudomonas putida, isolated from tea rhizosphere..pdf | Calculation of pesticide degradation in decaying cotton gin trash..pdf | Effect of storage, washing, and cooking on the stability of five pesticides in edible fungi of Agaricus bisporus A degradation kinetic stud.pdf | Setting of maximum residue limits for propargite in citrus fruits and tea..pdf",
Propiconazole,18,0,18,0,,A_Non_redundant_Function_of_MNS5__A_Class_I_α_1__2_Mannosidase__in_the_Regulatio.pdf | Biodegradation_mechanism_of_1H_1_2_4_triazole_by_a_newly_isolated_strain_Shinell.pdf | Biodegradation_of_propiconazole_by_newly_isolated_Burkholderia_sp__strain_BBK_9_.pdf | Degradation_Dynamics_and_Residue_Analysis_of_Four_Propiconazole_Stereoisomers_in.pdf | Degradation_of_Triazole_Fungicides_by_Plant_Growth_Promoting_Bacteria_from_Conta.pdf
Propylene oxide,172,0,172,0,,ALKBH5_Inhibits_YTHDF2_m6A_Mediated_Degradation_of_RCN1_mRNA_to_Promote_Keloid_F.pdf | A_New_Dinuclear_Cobalt_Complex_for_Copolymerization_of_CO_sub_2__sub__and_Propyl.pdf | A_Novel_One_Pot_Synthesis_of_Poly_Propylene_Carbonate__Containing_Cross_Linked_N.pdf | A_Review_on_Current_Strategies_for_the_Modulation_of_Thermomechanical__Barrier__.pdf | A_multiple_Kirkendall_strategy_for_converting_nanosized_zero_valent_iron_to_high.pdf
Prothioconazole,9,0,9,0,,Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf | Degradation_pathway_of_triazole_fungicides_and_synchronous_removal_of_transforma.pdf | Effect_of_novel_botanical_synergist_on_the_effectiveness_and_residue_behavior_of.pdf | Effective_and_Sustained_Control_of_Soil_Borne_Plant_Diseases_by_Biodegradable_Po.pdf | Enantioselective_Toxic_Effects_of_Prothioconazole_toward__i_Scenedesmus_obliquus.pdf
Pydiflumetofen,5,5,0,0,Assessment of the Hydrolysis of Pydiflumetofen and Its Degradation Characteristics in Agricultural Soils..pdf | Dissipation and Dietary Risk Assessment of Pydiflumetofen Residues in Soybean..pdf | Evaluation of exploitive potential for higher bioactivity and lower residue risk enantiomer of chiral fungicide pydiflumetofen..pdf | Peer review of the pesticide risk assessment of the active substance pydiflumetofen..pdf | Updated peer review of the pesticide risk assessment of the active substance pydiflumetofen..pdf,
Pymetrozine,16,16,0,0,"A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1..pdf | Acute Toxicity of an Emerging Insecticide Pymetrozine to Procambarus clarkii Associated with Rice-Crayfish Culture (RCIS)..pdf | Degradation of cyprodinil, fludioxonil, cyfluthrin and pymetrozine on lettuce after different application methods..pdf | Development and evaluation of pymetrozine controlled-release formulation to control paddy planthopper..pdf | Dissipation kinetics and exposure of spirotetramat and pymetrozine in open fields, a prelude to risk assessment of green bean consumption..pdf",
Pyraclostrobin,26,0,26,0,,An_Overview_of_Strobilurin_Fungicide_Degradation_Current_Status_and_Future_Persp.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Detoxification_Esterase_StrH_Initiates_Strobilurin_Fungicide_Degradation_in__i_H.pdf | Dissipation_Behavior_and_Dietary_Risk_Assessment_of_Thiamethoxam__Pyraclostrobin.pdf | Dissipation_Residue_Behaviors_and_Dietary_Risk_Assessment_of_Boscalid_and_Pyracl.pdf
Pyrasulfotole,1,1,0,0,"Assessment of fall-back MRLs for revoked CXLs previously implemented in the EU legislation and review of the JMPR evaluation of the toxicological data related to pyrasulfotole, pyraziflumid, spiropidion and tetraniliprole..pdf",
Pyraziflumid,1,1,0,0,"Assessment of fall-back MRLs for revoked CXLs previously implemented in the EU legislation and review of the JMPR evaluation of the toxicological data related to pyrasulfotole, pyraziflumid, spiropidion and tetraniliprole..pdf",
Pyrethrins,31,0,31,0,,Augmentation_of_pyrethrins_content_in_callus_of__i_Chrysanthemum_cinerariaefoliu.pdf | Biodegradation_of_cypermethrin_by_immobilized_cells_of_Micrococcus_sp__strain_CP.pdf | Characterization_of_a_Pyrethroid_Degrading__i_Pseudomonas_fulva__i__Strain_P31_a.pdf | Co_Metabolic_Degradation_of_β_Cypermethrin_and_3_Phenoxybenzoic_Acid_by_Co_Cultu.pdf | Co_Toxicity_Factor_Analysis_Reveals_Numerous_Plant_Essential_Oils_Are_Synergists.pdf
Pyridate,3,3,0,0,"Dynamics of the Degradation of Acetyl-CoA Carboxylase Herbicides in Vegetables..pdf | Modification of the existing maximum residue level for pyridate in chives..pdf | Simultaneous Determination of Pyridate, Quizalofop-ethyl, and Cyhalofop-butyl Residues in Agricultural Products Using Liquid Chromatography-Tandem Mass Spectrometry..pdf",
Pyrifluquinazon,1,1,0,0,In Utero Exposure to a Mixture of the Perfluoroalkyl-Isopropyl Pesticide Pyrifluquinazon With Dibutyl Phthalate Cumulatively Disrupts Male Rat Reproductive Development via Different Mechanisms of Action..pdf,
Pyrimethanil,16,0,16,0,,Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Biomarkers_of_Exposure_to_Pyrimethanil_After_Controlled_Human_Experiments_.pdf | Changes_to_Soil_Microbiome_Resulting_from_Synergetic_Effects_of_Fungistatic_Comp.pdf | Conditions_Optimizing_and_Application_of_Laccase_mediator_System__LMS__for_the_L.pdf | Degradation_of_2_4_dichlorophenoxyacetic_acid__2_4_D__and_2_4_5_trichlorophenoxy.pdf
Pyriofenone,1,1,0,0,Review of the existing maximum residue levels for pyriofenone according to Article 12 of Regulation (EC) NoÂ 3962005..pdf,
Pyriproxyfen,26,0,26,0,,A_high_throughput_HPLC_method_for_simultaneous_quantification_of_pyrethroid_and_.pdf | Assessing_Insect_Growth_Regulator_Resistance_Using_Bioassays__A_Systematic_Revie.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Current_and_future_opportunities_of_autodissemination_of_pyriproxyfen_approach_f.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf
Quinclorac,13,0,13,0,,Biodegradation_of_diuron_by_an_endophytic_fungus_Neurospora_intermedia_DP8_1_iso.pdf | Combined_effects_of_micropollutants_and_their_degradation_on_prokaryotic_communi.pdf | Complementary_RNA_Sequencing_Based_Transcriptomics_and_iTRAQ_Proteomics_Reveal_t.pdf | Ethylene_Biosynthesis_Inhibition_Combined_with_Cyanide_Degradation_Confer_Resist.pdf | High_Resistance_to_Quinclorac_in_Multiple_Resistant__i_Echinochloa_colona__i__As.pdf
Quinoxyfen,4,4,0,0,"Assessment of quinoxyfen phototransformation pathways by liquid chromatography coupled to accurate mass spectrometry..pdf | Fate of quinoxyfen residues in grapes, wine, and their processing products..pdf | Peer review of the targeted hazard assessment of the pesticide active substance quinoxyfen..pdf | Review of the existing maximum residue levels for quinoxyfen according to Article 12 of Regulation (EC) No 3962005..pdf",
Quintozene,6,6,0,0,Abiotic degradation of pentachloronitrobenzene by Fe(III) reactions on goethite and iron oxide nanoparticles..pdf | Application of gamma irradiation in ginseng for both photodegradation of pesticide pentachloronitrobenzene and microbial decontamination..pdf | Bioaccumulation and degradation of pentachloronitrobenzene in Medicago sativa..pdf | Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19..pdf | Biodegradation of pentachloronitrobenzene by Cupriavidus sp. YNS-85 and its potential for remediation of contaminated soils..pdf,
Saflufenacil,6,6,0,0,"Aquatic Macrophytes in the Remediation of Atrazine in Water A Study on Herbicide Tolerance and Degradation Using Eichhornia crassipes , Pistia stratiotes , and Salvinia minima.pdf | Bacterial adaptation to rhizosphere soil is independent of the selective pressure exerted by the herbicide saflufenacil, through the modulation of catalase and glutathione S-transferase..pdf | Low sorption and fast dissipation of the herbicide saflufenacil in surface soils and subsoils of an eroded prairie landscape..pdf | Soil residue analysis and degradation of saflufenacil as affected by moisture content and soil characteristics..pdf | The Environmental Degradation and Distribution of Saflufenacil, a Fluorinated Protoporphyrinogen IX Oxidase-Inhibiting Herbicide, on a Canadian Winter Wheat Field..pdf",
Sedaxane,4,4,0,0,"Biostimulant Effects of Seed-Applied Sedaxane Fungicide Morphological and Physiological Changes in Maize Seedlings..pdf | Modification of the existing maximum residue level for sedaxane in potatoes..pdf | Review of the existing maximum residue levels for sedaxane according to Article 12 of Regulation (EC) NoÂ 3962005..pdf | Stereoselective bioactivity, toxicity and degradation of novel fungicide sedaxane with four enantiomers under rice-wheat rotation mode..pdf",
Spinetoram,13,13,0,0,"Combinations of Beauveria bassiana and spinetoram for the management of four important stored-product pests laboratory and field trials..pdf | Control Efficiency and Mechanism of Spinetoram Seed-Pelleting Against the Striped Flea Beetle Phyllotreta Striolata.pdf | Degradation kinetics of the insecticide spinetoram in a rice field ecosystem..pdf | Development of a Modified QuEChERS Method Coupled with LC-MSMS for Determination of Spinetoram Residue in Soybean (Glycine max) and Cotton (Gossypium hirsutum).pdf | Impacts of Sublethal Doses of Spinetoram on the Biological Traits and Detoxifying Enzymes of the Tomato Leaf Miner, iTuta absolutai (Lepidoptera Gelechiidae)..pdf",
Spinosad,29,0,29,0,,ARTP_NTG_Compound_Mutagenesis_Improved_the_Spinosad_Production_and_the_Insectici.pdf | Biodegradation_of_Pine_Processionary_Caterpillar_Silk_Is_Mediated_by_Elastase__a.pdf | Comparative_Proteomic_Analysis_of_saccharopolyspora_spinosa_SP06081_and_PR2_stra.pdf | Comparative_transcriptomic_analysis_of_two_Saccharopolyspora_spinosa_strains_rev.pdf | Differential_proteomic_profiling_reveals_regulatory_proteins_and_novel_links_bet.pdf
Spirodiclofen,7,7,0,0,"Dissipation Kinetics and Risk Assessment of Spirodiclofen and Tebufenpyrad in iAster scaberi Thunb..pdf | Enhanced degradation of spiro-insecticides and their leacher enol derivatives in soil by solarization and biosolarization techniques..pdf | In vitro metabolism of tebuconazole, flurtamone, fenhexamid, metalaxyl-M and spirodiclofen in Cannabis sativa L. (hemp) callus cultures..pdf | Pesticide degradation capacity of a novel strain belonging toiSerratia sarumaniii(GBS19) with its genomic profile.pdf | Review of the existing maximum residue levels for spirodiclofen according to Article 12 of Regulation (EC) No 3962005..pdf",
Spiromesifen,12,12,0,0,"Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides..pdf | Dissipation kinetics of spiromesifen on tea (Camellia sinensis) under tropical conditions..pdf | Dissipation of spiromesifen and spiromesifen-enol on tomato fruit, tomato leaf, and soil under field and controlled environmental conditions..pdf | Enhanced degradation of spiro-insecticides and their leacher enol derivatives in soil by solarization and biosolarization techniques.pdf | Persistence and dissipation kinetics of spiromesifen in chili and cotton..pdf",
Spiropidion,3,3,0,0,"Assessment of fall-back MRLs for revoked CXLs previously implemented in the EU legislation and review of the JMPR evaluation of the toxicological data related to pyrasulfotole, pyraziflumid, spiropidion and tetraniliprole..pdf | Simultaneous determination of spiropidion and its five major metabolites in sweet orange fruit and various processing by-products using ultra-high performance liquid chromatography-tandem mass spectrometry.pdf | The effects of oil adjuvant on the degradation of spirotetramat and its metabolites in apple cultivation..pdf",
Spirotetramat,10,0,10,0,,Assessment_of_sublethal_and_transgenerational_effects_of_spirotetramat__on_popul.pdf | Determination__residue_analysis_and_risk_assessment_of_thiacloprid_and_spirotetr.pdf | Dissipation_kinetics_and_exposure_of_spirotetramat_and_pymetrozine_in_open_field.pdf | Hapten_Design_and_Antibody_Generation_for_Immunoanalysis_of_Spirotetramat_and_Sp.pdf | Metabolic_profile_and_behavior_of_clethodim_and_spirotetramat_in_herbs_during_pl.pdf
Sulfoxaflor,18,0,18,0,,Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Differences_in_the_Sublethal_Effects_of_Sulfoxaflor_and_Acetamiprid_on_the__i_Ap.pdf | Efficient_Biodegradation_of_the_Neonicotinoid_Insecticide_Flonicamid_by_Pseudami.pdf | Impact_of_Sulfoxaflor_on_Brown_Marmorated_Stink_Bug__Developmental_and_Reproduct.pdf | Impairments_in_learning_and_memory_performances_associated_with_nicotinic_recept.pdf
Sulfuryl fluoride,4,4,0,0,Commodity risk assessment of debarked conifer wood chips fumigated with sulfuryl fluoride from the US..pdf | Construction of PROTAC molecules by the SuFEx reaction for inducing p300CBP protein degradation..pdf | Mechanism insights and experimental feasibility of using boron nitride nanocones for rapid adsorption and degradation of SFsub6sub decomposition compounds..pdf | Review of the existing maximum residue levels for sulfuryl fluoride according to Article 12 of Regulation (EC) No 3962005..pdf,
Tebuconazole,24,0,24,0,,Attenuation_of_toxicity_and_occurrence_of_degradation_products_of_the_fungicide_.pdf | Degradation_dynamics_and_dissipation_kinetics_of_an_imidazole_fungicide__Prochlo.pdf | Degradation_of_Pesticides_Using_Semiconducting_and_Tetrapyrrolic_Macrocyclic_Pho.pdf | Dissipation_Kinetics_and_Risk_Assessment_of_Diniconazole__Dinotefuran__Metconazo.pdf | Dissipation_of_the_pesticides_fipronil__cypermethrin__and_tebuconazole_in_vegeta.pdf
Tebufenozide,6,6,0,0,"Dissipation and metabolism of tebufenozide in cabbage and soil under open field conditions in South China..pdf | Genome-wide Identification of Tebufenozide Resistant Genes in the smaller tea tortrix, Adoxophyes honmai (Lepidoptera Tortricidae)..pdf | Microbial Degradation of Pesticide Residues and an Emphasis on the Degradation of Cypermethrin and 3-phenoxy Benzoic Acid A Review..pdf | Modification of the existing maximum residue levels for tebufenozide in apricots and peaches..pdf | Statement on the relevance of the groundwater metabolite RH-2651 in the assessment of confirmatory data on the active substance tebufenozide..pdf",
Teflubenzuron,6,6,0,0,A broad-spectrum analysis of the effects of teflubenzuron exposure on the biochemical activities and microbial community structure of soil..pdf | Chitin Synthesis and Degradation in Crustaceans A Genomic View and Application..pdf | Environmental Impact of Xenobiotic Aromatic Compounds and Their Biodegradation Potential in iComamonas testosteronii..pdf | Identification of molecular interactions of pesticides with keratinase for their potential to inhibit keratin biodegradation..pdf | Persistence and Stability of Teflubenzuron and Diflubenzuron When Associated to Organic Particles in Marine Sediment..pdf,
Terbufos,1,0,1,0,,Microbiology_and_Biochemistry_of_Pesticides_Biodegradation_.pdf
Tetraniliprole,1,1,0,0,"Assessment of fall-back MRLs for revoked CXLs previously implemented in the EU legislation and review of the JMPR evaluation of the toxicological data related to pyrasulfotole, pyraziflumid, spiropidion and tetraniliprole..pdf",
Thiabendazole,24,0,24,0,,Characterization_of_Acetamiprid_Biodegradation_by_the_Microbial_Consortium_ACE_3.pdf | Comparative_Degradation_of_a_Thiazole_Pollutant_by_an_Advanced_Oxidation_Process.pdf | Cyclins_A_and_B_associate_with_chromatin_and_the_polar_regions_of_spindles__resp.pdf | Efficient_Degradation_of_2_Mercaptobenzothiazole_and_Other_Emerging_Pollutants_b.pdf | Enhanced_bioelectrochemical_degradation_of_Thiabendazole_using_biostimulated_Tun.pdf
Thiacloprid,25,0,25,0,,A_Mechanistic_Approach_Toward_Enhanced_Remediation_Potential_of_Thiacloprid_by_Z.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Application_of_Fe_MOFs_in_Photodegradation_and_Removal_of_Air_and_Water_Pollutan.pdf | Degradation_of_Agro_Industrial_Wastewater_Model_Compound_by_UV_A_Fenton_Process_.pdf | Degradation_of_Pesticides_Using_Semiconducting_and_Tetrapyrrolic_Macrocyclic_Pho.pdf
Thiamethoxam,150,150,0,0,"(Quasi)-Binomial vs. Gaussian Models to Evaluate Thiamethoxam, Pirimiphos-Methyl, Alpha-Cypermethrin and Deltamethrin on Different Types of Storage Bag Materials Against Ephestia kuehniella Zeller (Lepidoptera Pyralidae) an.pdf | A BaTiO3WS2 composite for piezo-photocatalytic.pdf | A Critical Review on Metal-Organic Frameworks and Their Composites as Advanced Materials for Adsorption and Photocatalytic Degradation of Emerging Organic Pollutants from Wastewater..pdf | A common neonicotinoid pesticide, thiamethoxam, alters honey bee activity, motor functions, and movement to light..pdf | A common neonicotinoid pesticide, thiamethoxam, impairs honey bee flight ability..pdf",
Thiophanate-Methyl,17,17,0,0,A Novel Cu2OZnO@PET Composite Membrane for the Photocatalytic Degradation of Carbendazim.pdf | Biodegradation kinetics of the benzimidazole fungicide thiophanate-methyl by bacteria isolated from loamy sand soil..pdf | Biodegradation of carbendazim by a potent novel Chryseobacterium sp. JAS14 and plant growth promoting Aeromonas caviae JAS15 with subsequent toxicity analysis.pdf | Changed degradation behavior of pesticides when present in mixtures..pdf | Characterization of the ultraviolet-visible photoproducts of thiophanate-methyl using high performance liquid chromatography coupled with high resolution tandem mass spectrometry-Detection in grapes and tomatoes..pdf,
Tioxazafen,1,1,0,0,"Aqueous degradation of tioxazafen Kinetics, products, pathways, and toxicity..pdf",
Tolclofos-Methyl,3,3,0,0,"Application of Hi-throatHi-volume SPE technique in assessing organophosphorus pesticides and their degradation products in surface water from Tai Lake, east China..pdf | Modification of the existing maximum residue level for tolclofos-methyl in potatoes..pdf | Peer review of the pesticide risk assessment of the active substance tolclofos-methyl..pdf",
Tolfenpyrad,3,3,0,0,"Degradation strategies of pesticide residue From chemicals to synthetic biology..pdf | Residue, dissipation and dietary intake risk assessment of tolfenpyrad in four leafy green vegetables under greenhouse conditions..pdf | Tolfenpyrad displays iFrancisellai-targeted antibiotic activity that requires an oxidative stress response regulator for sensitivity..pdf",
Triadimefon,3,3,0,0,"Degradation strategies of pesticide residue From chemicals to synthetic biology..pdf | Residue, dissipation and dietary intake risk assessment of tolfenpyrad in four leafy green vegetables under greenhouse conditions..pdf | Tolfenpyrad displays Francisella-targeted antibiotic activity that requires an oxidative stress response regulator for sensitivity.pdf",
Triadimenol,14,14,0,0,"Biodegradation of phenol-contaminated soil and plant growth promotion by iMyroides xuanwuensisi H13..pdf | Changed degradation behavior of pesticides when present in mixtures..pdf | Degradation of chloroneb, triadimefon, and vinclozolin in soil, thatch, and grass clippings..pdf | Degradation of conazole fungicides in water by electrochemical oxidation..pdf | Degradation of triadimefon and residue levels of metabolite triadimenol tracing rapeseed from harvesting and storage to household oil processing..pdf",
Triazophos,44,44,0,0,"A Comprehensive Review of Multifunctional Nanozymes for Degradation and Detection of Organophosphorus Pesticides in the Environment..pdf | A review on WO3 photocatalysis used for wastewater treatment and pesticide degradation.pdf | A sensitive fluorometric bio-barcodes immunoassay for detection of triazophos residue in agricultural products and water samples by iterative cycles of DNA-RNA hybridization and dissociation of fluorophores by Ribonuclease.pdf | Adsorption and degradation of triazophos, chlorpyrifos and their main hydrolytic metabolites in paddy soil from Chaohu Lake, China..pdf | An alkaline phosphatase from Bacillus amyloliquefaciens YP6 of new application in biodegradation of five broad-spectrum organophosphorus pesticides..pdf",
Tricyclazole,9,9,0,0,"Comparative Degradation of a Thiazole Pollutant by an Advanced Oxidation Process and an Enzymatic Approach..pdf | Degradation of tricyclazole Effect of moisture, soil type, elevated carbon dioxide and Blue Green Algae (BGA)..pdf | Dissipation kinetics and risk assessments of tricyclazole during Oryza sativa L. growing, processing and storage..pdf | Effects of disrupting the polyketide synthase gene WdPKS1 in Wangiella [Exophiala] dermatitidis on melanin production and resistance to killing by antifungal compounds, enzymatic degradation, and extremes in temperature..pdf | Optimization of Ferimzone and Tricyclazole Analysis in Rice Straw Using QuEChERS Method and Its Application in UAV-Sprayed Residue Study..pdf",
Trifloxystrobin,24,24,0,0,An Overview of Strobilurin Fungicide DegradationCurrent Status and Future Perspective..pdf | Determination of trifloxystrobin and its metabolites in Hawaii soils by ASE-LC-MSMS.pdf | Detoxification Esterase StrH Initiates Strobilurin Fungicide Degradation in iHyphomicrobiumi sp. Strain DY-1..pdf | Effect of intermittent water flow on biodegradation of organic micropollutants in the hyporheic zone..pdf | Environmental fate of trifloxystrobin in soils of different geographical origins and photolytic degradation in water.pdf,
Triflumizole,4,4,0,0,"Conclusion on the peer review of the pesticide risk assessment of the active substance triflumizole..pdf | Development of triflumizole ionic liquids containing anions of natural origin for improving the utilization and minimizing the adverse impacts on aquatic ecosystems..pdf | Dissipation behavior, residue distribution, and risk assessment of triflumizole and FM-6-1 in greenhouse strawberries and soil..pdf | Review of the existing maximum residue levels for triflumizole according to Article 12 of Regulation (EC) NoÂ 3962005..pdf",
Triflumuron,2,2,0,0,Review of the existing maximum residue levels for triflumuron according to Article 12 of Regulation (EC) NoÂ 3962005..pdf | Triflumuron Effects on the Physiology and Reproduction of iRhodnius prolixusi Adult Females..pdf,
Trinexapac-ethyl,4,4,0,0,Peer review of the pesticide risk assessment of the active substance trinexapac (variant evaluated trinexapac-ethyl)..pdf | Quantitative Modeling of the Degradation of Pesticide Residues in Wheat Flour Supply Chain..pdf | Sugarcane cultivar response to glyphosate and trinexapac-ethyl ripeners in Louisiana..pdf | Updated peer review of the pesticide risk assessment of theÂ active substance trinexapac (variant evaluated trinexapac-ethyl)..pdf,
Valifenalate,2,2,0,0,Modification of the existing maximum residue levels for valifenalate in various crops..pdf | Review of the existing maximum residue levels for valifenalate according to Article 12 of Regulation (EC) No 3962005..pdf,
Vinclozolin,29,29,0,0,Alterations in the developing testis transcriptome following embryonic vinclozolin exposure..pdf | Bacterial degradation of monocyclic aromatic amines..pdf | Biodegradation of propiconazole by newly isolated Burkholderia sp. strain BBK_9..pdf | Chemical and biological transformation of the fungicide vinclozolin..pdf | Chiral separation and enantioselective degradation of vinclozolin in soils..pdf,
Zoxamide,6,6,0,0,"Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf | Eco-friendly fabrication of copper oxide nanoparticles using peel extract of Citrus aurantium for the efficient degradation of methylene blue dye..pdf | Effective Remediation Strategy for Xenobiotic Zoxamide by Pure Bacterial Strains, iEscherichia coli, Streptococcus pyogenesi, and iStreptococcus pneumoniaei..pdf | Peer review of the pesticide risk assessment of the active substance zoxamide..pdf | Review of the existing maximum residue levels for zoxamide according to Article 12 of Regulation (EC) No 3962005 and setting of an import tolerance for onions, garlic and shallots..pdf",
